Date,Maximum Value,Minimum Value,Average Value,Posted 3-Year Fixed Mortgage Rates,,
1/5/2000,8.55,3.95,5.98,8.05,,
1/12/2000,8.55,3.95,5.98,8.30,,
1/19/2000,8.55,3.95,5.98,8.30,,
1/26/2000,8.55,3.95,5.98,8.30,,
2/2/2000,8.55,3.95,5.98,8.30,,
2/9/2000,8.55,3.95,5.98,8.30,,
2/16/2000,8.55,3.95,5.98,8.30,,
2/23/2000,8.55,3.95,5.98,8.30,,
3/1/2000,8.55,3.95,5.98,8.15,,
3/8/2000,8.55,3.95,5.98,8.15,,
3/15/2000,8.55,3.95,5.98,8.15,,
3/22/2000,8.55,3.95,5.98,8.15,,
3/29/2000,8.55,3.95,5.98,8.15,,
4/5/2000,8.55,3.95,5.98,8.15,,
4/12/2000,8.55,3.95,5.98,8.15,,
4/19/2000,8.55,3.95,5.98,8.15,,
4/26/2000,8.55,3.95,5.98,8.15,,
5/3/2000,8.55,3.95,5.98,8.35,,
5/10/2000,8.55,3.95,5.98,8.35,,
5/17/2000,8.55,3.95,5.98,8.35,,
5/24/2000,8.55,3.95,5.98,8.55,,
5/31/2000,8.55,3.95,5.98,8.55,,
6/7/2000,8.55,3.95,5.98,8.30,,
6/14/2000,8.55,3.95,5.98,8.30,,
6/21/2000,8.55,3.95,5.98,8.30,,
6/28/2000,8.55,3.95,5.98,8.30,,
7/5/2000,8.55,3.95,5.98,8.30,,
7/12/2000,8.55,3.95,5.98,8.10,,
7/19/2000,8.55,3.95,5.98,8.10,,
7/26/2000,8.55,3.95,5.98,8.10,,
8/2/2000,8.55,3.95,5.98,8.10,,
8/9/2000,8.55,3.95,5.98,8.10,,
8/16/2000,8.55,3.95,5.98,8.10,,
8/23/2000,8.55,3.95,5.98,8.10,,
8/30/2000,8.55,3.95,5.98,8.10,,
9/6/2000,8.55,3.95,5.98,8.10,,
9/13/2000,8.55,3.95,5.98,8.10,,
9/20/2000,8.55,3.95,5.98,8.10,,
9/27/2000,8.55,3.95,5.98,8.10,,
10/4/2000,8.55,3.95,5.98,8.10,,
10/11/2000,8.55,3.95,5.98,8.10,,
10/18/2000,8.55,3.95,5.98,8.10,,
10/25/2000,8.55,3.95,5.98,8.10,,
11/1/2000,8.55,3.95,5.98,8.10,,
11/8/2000,8.55,3.95,5.98,8.10,,
11/15/2000,8.55,3.95,5.98,8.10,,
11/22/2000,8.55,3.95,5.98,8.10,,
11/29/2000,8.55,3.95,5.98,8.10,,
12/6/2000,8.55,3.95,5.98,7.95,,
12/13/2000,8.55,3.95,5.98,7.80,,
12/20/2000,8.55,3.95,5.98,7.80,,
12/27/2000,8.55,3.95,5.98,7.80,,
1/3/2001,8.55,3.95,5.98,7.80,,
1/10/2001,8.55,3.95,5.98,7.55,,
1/17/2001,8.55,3.95,5.98,7.55,,
1/24/2001,8.55,3.95,5.98,7.55,,
1/31/2001,8.55,3.95,5.98,7.55,,
2/7/2001,8.55,3.95,5.98,7.55,,
2/14/2001,8.55,3.95,5.98,7.55,,
2/21/2001,8.55,3.95,5.98,7.55,,
2/28/2001,8.55,3.95,5.98,7.55,,
3/7/2001,8.55,3.95,5.98,7.20,,
3/14/2001,8.55,3.95,5.98,7.20,,
3/21/2001,8.55,3.95,5.98,6.95,,
3/28/2001,8.55,3.95,5.98,6.95,,
4/4/2001,8.55,3.95,5.98,6.95,,
4/11/2001,8.55,3.95,5.98,7.10,,
4/18/2001,8.55,3.95,5.98,7.10,,
4/25/2001,8.55,3.95,5.98,7.10,,
5/2/2001,8.55,3.95,5.98,7.10,,
5/9/2001,8.55,3.95,5.98,7.10,,
5/16/2001,8.55,3.95,5.98,7.10,,
5/23/2001,8.55,3.95,5.98,7.30,,
5/30/2001,8.55,3.95,5.98,7.30,,
6/6/2001,8.55,3.95,5.98,7.30,,
6/13/2001,8.55,3.95,5.98,7.30,,
6/20/2001,8.55,3.95,5.98,7.30,,
6/27/2001,8.55,3.95,5.98,7.30,,
7/4/2001,8.55,3.95,5.98,7.30,,
7/11/2001,8.55,3.95,5.98,7.30,,
