
******************** RISK RUN START (11/20/2010 6:33:55 PM - ) ********************

11/20/2010 6:33:55 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 06-Nov-2009 Official -e
11/20/2010 6:34:07 PM - 	7250 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve AIFUL.JPY.SeniorUnsecured.Excluded to fit by copying previous quote to tenor 7 Years
11/20/2010 6:34:07 PM - 	7265 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve AIFUL.JPY.SeniorUnsecured.Excluded to fit by copying previous quote to tenor 10 Years
11/20/2010 6:34:07 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20091106/Next-Data\OptexCurves.20091106.CSV -e
11/20/2010 6:34:13 PM - 	Treating quote  EURLIBOR.1 Days.Mid
11/20/2010 6:34:13 PM - 	quote  EURLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 6:34:13 PM - 	Treating quote  EURLIBOR.1 Weeks.Mid
11/20/2010 6:34:13 PM - 	quote  EURLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 6:34:13 PM - 	Treating quote  EURLIBOR.1 Months.Mid
11/20/2010 6:34:13 PM - 	quote  EURLIBOR.1 Months.Mid  has been created/updated successfully.
11/20/2010 6:34:13 PM - 	Treating quote  EURLIBOR.16-Dec-2009.Mid
11/20/2010 6:34:13 PM - 	quote  EURLIBOR.16-Dec-2009.Mid  has been created/updated successfully.
11/20/2010 6:34:13 PM - 	Treating quote  EURLIBOR.MAR10.Mid
11/20/2010 6:34:13 PM - 	quote  EURLIBOR.MAR10.Mid  has been created/updated successfully.
11/20/2010 6:34:13 PM - 	Treating quote  EURLIBOR.JUN10.Mid
11/20/2010 6:34:13 PM - 	quote  EURLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 6:34:13 PM - 	Treating quote  EURLIBOR.SEP10.Mid
11/20/2010 6:34:13 PM - 	quote  EURLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 6:34:13 PM - 	Treating quote  EURLIBOR.DEC10.Mid
11/20/2010 6:34:13 PM - 	quote  EURLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 6:34:13 PM - 	Treating quote  EURLIBOR.MAR11.Mid
11/20/2010 6:34:13 PM - 	quote  EURLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 6:34:13 PM - 	Treating quote  EURLIBOR.JUN11.Mid
11/20/2010 6:34:13 PM - 	quote  EURLIBOR.JUN11.Mid  has been created/updated successfully.
11/20/2010 6:34:13 PM - 	Treating quote  EURLIBOR.SEP11.Mid
11/20/2010 6:34:13 PM - 	quote  EURLIBOR.SEP11.Mid  has been created/updated successfully.
11/20/2010 6:34:13 PM - 	Treating quote  EURLIBOR.DEC11.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.DEC11.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.MAR12.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.MAR12.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.JUN12.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.JUN12.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.SEP12.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.SEP12.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.DEC12.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.DEC12.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.4 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.5 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.6 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.6 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.7 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.7 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.8 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.8 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.9 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.9 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.10 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.10 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.11 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.11 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.12 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.12 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.15 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.15 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.20 Years.Mid
11/20/2010 6:34:14 PM - 	quote  EURLIBOR.20 Years.Mid  has been created/updated successfully.
11/20/2010 6:34:14 PM - 	Treating quote  EURLIBOR.25 Years.Mid
