
******************** RISK RUN START (11/20/2010 7:33:19 PM - ) ********************

11/20/2010 7:33:19 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 18-Nov-2009 Official -e
11/20/2010 7:33:30 PM - 	6687 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 4 Years
11/20/2010 7:33:30 PM - 	6718 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 5 Years
11/20/2010 7:33:30 PM - 	6734 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 6 Years
11/20/2010 7:33:30 PM - 	6734 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 7 Years
11/20/2010 7:33:31 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20091118/Next-Data\OptexCurves.20091118.CSV -e
11/20/2010 7:33:37 PM - 	Treating quote  EURLIBOR.1 Days.Mid
11/20/2010 7:33:37 PM - 	quote  EURLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 7:33:37 PM - 	Treating quote  EURLIBOR.1 Weeks.Mid
11/20/2010 7:33:37 PM - 	quote  EURLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 7:33:37 PM - 	Treating quote  EURLIBOR.16-Dec-2009.Mid
11/20/2010 7:33:37 PM - 	quote  EURLIBOR.16-Dec-2009.Mid  has been created/updated successfully.
11/20/2010 7:33:37 PM - 	Treating quote  EURLIBOR.MAR10.Mid
11/20/2010 7:33:37 PM - 	quote  EURLIBOR.MAR10.Mid  has been created/updated successfully.
11/20/2010 7:33:37 PM - 	Treating quote  EURLIBOR.JUN10.Mid
