Tenor, CurveName, CurveDate, MarketSet, Type, Label, Maturity Date, Calculated Yield, SortOrder
1D,EUR_EUR        ,22-Dec-09,CLOSE,mm,mm_0_1,24-Dec-09,0.0098326000000000,0
1W,EUR_EUR        ,22-Dec-09,CLOSE,mm,mm_2_20091231,31-Dec-09,0.0098318000000000,1
1M,EUR_EUR        ,22-Dec-09,CLOSE,mm,mm_0_101,22-Jan-10,0.0098313000000000,2
2M,EUR_EUR        ,22-Dec-09,CLOSE,mm,mm_2_102,24-Feb-10,0.0094840000000000,3
STUB,EUR_EUR        ,22-Dec-09,CLOSE,mm,mm_0_20100317,17-Mar-10,0.0094015000000000,4
FUT1,EUR_EUR        ,22-Dec-09,CLOSE,fut,fut_1_103,17-Jun-10,0.0101308000000000,5
FUT2,EUR_EUR        ,22-Dec-09,CLOSE,fut,fut_2_103,16-Sep-10,0.0125579000000000,6
FUT3,EUR_EUR        ,22-Dec-09,CLOSE,fut,fut_3_103,15-Dec-10,0.0155951000000000,7
FUT4,EUR_EUR        ,22-Dec-09,CLOSE,fut,fut_4_103,16-Mar-11,0.0181338000000000,8
FUT5,EUR_EUR        ,22-Dec-09,CLOSE,fut,fut_5_103,16-Jun-11,0.0203455000000000,9
FUT6,EUR_EUR        ,22-Dec-09,CLOSE,fut,fut_6_103,21-Sep-11,0.0225761000000000,10
FUT7,EUR_EUR        ,22-Dec-09,CLOSE,fut,fut_7_103,21-Dec-11,0.0245063000000000,11
FUT8,EUR_EUR        ,22-Dec-09,CLOSE,fut,fut_8_103,21-Mar-12,0.0261326000000000,12
FUT9,EUR_EUR        ,22-Dec-09,CLOSE,fut,fut_9_103,21-Jun-12,0.0275841000000000,13
FUT10,EUR_EUR        ,22-Dec-09,CLOSE,fut,fut_10_103,20-Sep-12,0.0290188000000000,14
FUT11,EUR_EUR        ,22-Dec-09,CLOSE,fut,fut_11_103,19-Dec-12,0.0303026000000000,15
FUT12,EUR_EUR        ,22-Dec-09,CLOSE,fut,fut_12_103,19-Mar-13,0.0317174000000000,16
4Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1004,24-Dec-13,0.0241600000000000,17
5Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1005,24-Dec-14,0.0267800000000000,18
6Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1006,24-Dec-15,0.0290100000000000,19
7Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1007,27-Dec-16,0.0309373000000000,20
8Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1008,27-Dec-17,0.0325093000000000,21
9Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1009,24-Dec-18,0.0338200000000000,22
10Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1010,24-Dec-19,0.0349400000000000,23
11Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1011,24-Dec-20,0.0359300000000000,24
12Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1012,24-Dec-21,0.0368000000000000,25
15Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1015,24-Dec-24,0.0386700000000000,26
20Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1020,24-Dec-29,0.0396600000000000,27
25Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1025,27-Dec-34,0.0392307000000000,28
30Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1030,27-Dec-39,0.0384312000000000,29
40Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1040,24-Dec-49,0.0368800000000000,30
50Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1050,24-Dec-59,0.0362600000000000,31
60Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1060,24-Dec-69,0.0356700000000000,32
70Y,EUR_EUR        ,22-Dec-09,CLOSE,swap,swap_2_1070,27-Dec-79,0.0351472000000000,33
1D,GBP            ,22-Dec-09,CLOSE,mm,mm_0_1,23-Dec-09,0.0082346000000000,0
1W,GBP            ,22-Dec-09,CLOSE,mm,mm_0_20091229,29-Dec-09,0.0082348000000000,1
1M,GBP            ,22-Dec-09,CLOSE,mm,mm_0_101,22-Jan-10,0.0082357000000000,2
2M,GBP            ,22-Dec-09,CLOSE,mm,mm_0_102,22-Feb-10,0.0079085000000000,3
STUB,GBP            ,22-Dec-09,CLOSE,mm,mm_0_20100317,17-Mar-10,0.0077678000000000,4
FUT1,GBP            ,22-Dec-09,CLOSE,fut,fut_1_103,17-Jun-10,0.0087314000000000,5
FUT2,GBP            ,22-Dec-09,CLOSE,fut,fut_2_103,16-Sep-10,0.0112608000000000,6
FUT3,GBP            ,22-Dec-09,CLOSE,fut,fut_3_103,15-Dec-10,0.0153374000000000,7
FUT4,GBP            ,22-Dec-09,CLOSE,fut,fut_4_103,16-Mar-11,0.0201241000000000,8
FUT5,GBP            ,22-Dec-09,CLOSE,fut,fut_5_103,16-Jun-11,0.0245044000000000,9
FUT6,GBP            ,22-Dec-09,CLOSE,fut,fut_6_103,21-Sep-11,0.0285703000000000,10
FUT7,GBP            ,22-Dec-09,CLOSE,fut,fut_7_103,21-Dec-11,0.0321873000000000,11
FUT8,GBP            ,22-Dec-09,CLOSE,fut,fut_8_103,21-Mar-12,0.0353424000000000,12
FUT9,GBP            ,22-Dec-09,CLOSE,fut,fut_9_103,21-Jun-12,0.0377861000000000,13
FUT10,GBP            ,22-Dec-09,CLOSE,fut,fut_10_103,20-Sep-12,0.0397667000000000,14
FUT11,GBP            ,22-Dec-09,CLOSE,fut,fut_11_103,19-Dec-12,0.0412571000000000,15
FUT12,GBP            ,22-Dec-09,CLOSE,fut,fut_12_103,19-Mar-13,0.0425594000000000,16
4Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1004,23-Dec-13,0.0296157000000000,17
5Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1005,22-Dec-14,0.0326500000000000,18
6Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1006,22-Dec-15,0.0348750000000000,19
7Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1007,22-Dec-16,0.0366000000000000,20
8Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1008,22-Dec-17,0.0379250000000000,21
9Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1009,24-Dec-18,0.0390196000000000,22
10Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1010,23-Dec-19,0.0399726000000000,23
12Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1012,22-Dec-21,0.0415250000000000,24
15Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1015,23-Dec-24,0.0428990000000000,25
20Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1020,24-Dec-29,0.0429000000000000,26
25Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1025,22-Dec-34,0.0422750000000000,27
30Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1030,22-Dec-39,0.0415750000000000,28
40Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1040,22-Dec-49,0.0407250000000000,29
50Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1050,22-Dec-59,0.0405250000000000,30
60Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1060,23-Dec-69,0.0407500000000000,31
70Y,GBP            ,22-Dec-09,CLOSE,swap,swap_0_1070,22-Dec-79,0.0410424000000000,32
1D,JPY_EOD        ,22-Dec-09,CLOSE,mm,mm_0_1,23-Dec-09,0.0048882000000000,0
2D,JPY_EOD        ,22-Dec-09,CLOSE,mm,mm_0_20091224,25-Dec-09,0.0048883000000000,1
1W,JPY_EOD        ,22-Dec-09,CLOSE,mm,mm_2_20091231,04-Jan-10,0.0048885000000000,2
1M,JPY_EOD        ,22-Dec-09,CLOSE,mm,mm_2_101,25-Jan-10,0.0048892000000000,3
2M,JPY_EOD        ,22-Dec-09,CLOSE,mm,mm_2_102,25-Feb-10,0.0048902000000000,4
3M,JPY_EOD        ,22-Dec-09,CLOSE,mm,mm_2_103,25-Mar-10,0.0048911000000000,5
6M,JPY_EOD        ,22-Dec-09,CLOSE,mm,mm_2_106,25-Jun-10,0.0048031000000000,6
1Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1001,27-Dec-10,0.0045750000000000,7
18M,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_118,27-Jun-11,0.0046415000000000,8
2Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1002,28-Dec-11,0.0046750000000000,9
3Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1003,27-Dec-12,0.0051258000000000,10
4Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1004,27-Dec-13,0.0057736000000000,11
5Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1005,29-Dec-14,0.0067000000000000,12
6Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1006,29-Dec-15,0.0079250000000000,13
7Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1007,28-Dec-16,0.0094000000000000,14
8Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1008,27-Dec-17,0.0109000000000000,15
9Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1009,27-Dec-18,0.0124033000000000,16
10Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1010,27-Dec-19,0.0137965000000000,17
12Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1012,29-Dec-21,0.0161000000000000,18
15Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1015,27-Dec-24,0.0185482000000000,19
20Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1020,27-Dec-29,0.0208981000000000,20
25Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1025,27-Dec-34,0.0216500000000000,21
30Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1030,27-Dec-39,0.0220000000000000,22
40Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1040,29-Dec-49,0.0220000000000000,23
50Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1050,25-Dec-59,0.0220000000000000,24
52Y,JPY_EOD        ,22-Dec-09,CLOSE,swap,swap_2_1052,27-Dec-61,0.0220000000000000,25
STUB,USD_EOD_CL     ,22-Dec-09,CLOSE,mm,mm_0_20100317,17-Mar-10,0.0023940000000000,0
FUT1,USD_EOD_CL     ,22-Dec-09,CLOSE,fut,fut_1_103,17-Jun-10,0.0036000000000000,1
FUT2,USD_EOD_CL     ,22-Dec-09,CLOSE,fut,fut_2_103,16-Sep-10,0.0060000000000000,2
FUT3,USD_EOD_CL     ,22-Dec-09,CLOSE,fut,fut_3_103,15-Dec-10,0.0095000000000000,3
FUT4,USD_EOD_CL     ,22-Dec-09,CLOSE,fut,fut_4_103,16-Mar-11,0.0133500000000000,4
FUT5,USD_EOD_CL     ,22-Dec-09,CLOSE,fut,fut_5_103,16-Jun-11,0.0172500000000000,5
FUT6,USD_EOD_CL     ,22-Dec-09,CLOSE,fut,fut_6_103,15-Sep-11,0.0212500000000000,6
2Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1002,27-Dec-11,0.0126180000000000,7
3Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1003,24-Dec-12,0.0190130000000000,8
4Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1004,24-Dec-13,0.0242610000000000,9
5Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1005,24-Dec-14,0.0284100000000000,10
6Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1006,24-Dec-15,0.0316710000000000,11
7Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1007,28-Dec-16,0.0342320000000000,12
8Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1008,27-Dec-17,0.0361560000000000,13
9Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1009,24-Dec-18,0.0376790000000000,14
10Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1010,24-Dec-19,0.0390270000000000,15
12Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1012,24-Dec-21,0.0411570000000000,16
15Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1015,24-Dec-24,0.0431390000000000,17
20Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1020,24-Dec-29,0.0442270000000000,18
25Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1025,27-Dec-34,0.0446140000000000,19
30Y,USD_EOD_CL     ,22-Dec-09,CLOSE,swap,swap_2_1030,27-Dec-39,0.0448510000000000,20
