
******************** RISK RUN START (11/20/2010 10:32:56 PM - ) ********************

11/20/2010 10:32:56 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 22-Dec-2009 Official -e
11/20/2010 10:33:06 PM - 	6687 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 7 Years
11/20/2010 10:33:06 PM - 	6734 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 10 Years
11/20/2010 10:33:08 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20091222/Next-Data\OptexCurves.20091222.CSV -e
11/20/2010 10:33:14 PM - 	Treating quote  EURLIBOR.1 Days.Mid
11/20/2010 10:33:14 PM - 	quote  EURLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 10:33:14 PM - 	Treating quote  EURLIBOR.1 Weeks.Mid
11/20/2010 10:33:14 PM - 	quote  EURLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 10:33:14 PM - 	Treating quote  EURLIBOR.1 Months.Mid
11/20/2010 10:33:14 PM - 	quote  EURLIBOR.1 Months.Mid  has been created/updated successfully.
11/20/2010 10:33:14 PM - 	Treating quote  EURLIBOR.2 Months.Mid
11/20/2010 10:33:14 PM - 	quote  EURLIBOR.2 Months.Mid  has been created/updated successfully.
11/20/2010 10:33:14 PM - 	Treating quote  EURLIBOR.17-Mar-2010.Mid
11/20/2010 10:33:14 PM - 	quote  EURLIBOR.17-Mar-2010.Mid  has been created/updated successfully.
11/20/2010 10:33:14 PM - 	Treating quote  EURLIBOR.JUN10.Mid
11/20/2010 10:33:14 PM - 	quote  EURLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 10:33:14 PM - 	Treating quote  EURLIBOR.SEP10.Mid
11/20/2010 10:33:14 PM - 	quote  EURLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 10:33:14 PM - 	Treating quote  EURLIBOR.DEC10.Mid
11/20/2010 10:33:14 PM - 	quote  EURLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 10:33:14 PM - 	Treating quote  EURLIBOR.MAR11.Mid
11/20/2010 10:33:14 PM - 	quote  EURLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 10:33:14 PM - 	Treating quote  EURLIBOR.JUN11.Mid
