
******************** RISK RUN START (11/20/2010 10:40:30 PM - ) ********************

11/20/2010 10:40:30 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 23-Dec-2009 Official -e
11/20/2010 10:40:42 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20091223/Next-Data\OptexCurves.20091223.CSV -e
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.1 Months.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.1 Months.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.2 Months.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.2 Months.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.17-Mar-2010.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.17-Mar-2010.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.JUN10.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.DEC10.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.MAR11.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.JUN11.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.JUN11.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.SEP11.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.SEP11.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.DEC11.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.DEC11.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.MAR12.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.MAR12.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.JUN12.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.JUN12.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.SEP12.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.SEP12.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.DEC12.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.DEC12.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.MAR13.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.MAR13.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.4 Years.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.5 Years.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.6 Years.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.6 Years.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.7 Years.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.7 Years.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.8 Years.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.8 Years.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.9 Years.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.9 Years.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.10 Years.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.10 Years.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.12 Years.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.12 Years.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.15 Years.Mid
11/20/2010 10:40:49 PM - 	quote  GBPLIBOR.15 Years.Mid  has been created/updated successfully.
11/20/2010 10:40:49 PM - 	Treating quote  GBPLIBOR.20 Years.Mid
