
******************** RISK RUN START (11/20/2010 11:03:08 PM - ) ********************

11/20/2010 11:03:08 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 28-Dec-2009 Official -e
11/20/2010 11:03:19 PM - 	7203 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve AIFUL.JPY.SeniorUnsecured.Excluded to fit by copying previous quote to tenor 5 Years
11/20/2010 11:03:20 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20091228/Next-Data\OptexCurves.20091228.CSV -e
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.15-Mar-2010.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.15-Mar-2010.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.JUN10.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.SEP10.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.DEC10.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.MAR11.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.JUN11.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.JUN11.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.SEP11.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.SEP11.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.DEC11.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.DEC11.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.2 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.2 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.3 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.3 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.4 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.5 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.6 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.6 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.7 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.7 Years.Mid  has been created/updated successfully.
11/20/2010 11:03:26 PM - 	Treating quote  CADLIBOR.8 Years.Mid
11/20/2010 11:03:26 PM - 	quote  CADLIBOR.8 Years.Mid  has been created/updated successfully.
