
******************** RISK RUN START (11/20/2010 11:18:24 PM - ) ********************

11/20/2010 11:18:24 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 30-Dec-2009 Official -e
11/20/2010 11:18:37 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20091230/Next-Data\OptexCurves.20091230.CSV -e
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.1 Days.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.2 Days.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.2 Days.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.1 Weeks.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.1 Months.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.1 Months.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.2 Months.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.2 Months.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.3 Months.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.3 Months.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.6 Months.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.6 Months.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.1 Years.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.1 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.18 Months.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.18 Months.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.2 Years.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.2 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.3 Years.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.3 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.4 Years.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.5 Years.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.6 Years.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.6 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.7 Years.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.7 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.8 Years.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.8 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.9 Years.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.9 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.10 Years.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.10 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.12 Years.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.12 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.15 Years.Mid
11/20/2010 11:18:43 PM - 	quote  JPYLIBOR.15 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:43 PM - 	Treating quote  JPYLIBOR.20 Years.Mid
11/20/2010 11:18:44 PM - 	quote  JPYLIBOR.20 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:44 PM - 	Treating quote  JPYLIBOR.25 Years.Mid
11/20/2010 11:18:44 PM - 	quote  JPYLIBOR.25 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:44 PM - 	Treating quote  JPYLIBOR.30 Years.Mid
11/20/2010 11:18:44 PM - 	quote  JPYLIBOR.30 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:44 PM - 	Treating quote  JPYLIBOR.40 Years.Mid
11/20/2010 11:18:44 PM - 	quote  JPYLIBOR.40 Years.Mid  has been created/updated successfully.
11/20/2010 11:18:44 PM - 	Treating quote  JPYLIBOR.50 Years.Mid
