
******************** RISK RUN START (11/20/2010 11:49:04 PM - ) ********************

11/20/2010 11:49:04 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 05-Jan-2010 Official -e
11/20/2010 11:49:15 PM - 	6703 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 6 Years
11/20/2010 11:49:15 PM - 	6750 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 7 Years
11/20/2010 11:49:15 PM - 	6750 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 10 Years
11/20/2010 11:49:16 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20100105/Next-Data\OptexCurves.20100105.CSV -e
11/20/2010 11:49:22 PM - 	Treating quote  USDLIBOR.17-Mar-2010.Mid
11/20/2010 11:49:23 PM - 	quote  USDLIBOR.17-Mar-2010.Mid  has been created/updated successfully.
11/20/2010 11:49:23 PM - 	Treating quote  USDLIBOR.JUN10.Mid
11/20/2010 11:49:23 PM - 	quote  USDLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 11:49:23 PM - 	Treating quote  USDLIBOR.SEP10.Mid
11/20/2010 11:49:23 PM - 	quote  USDLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 11:49:23 PM - 	Treating quote  USDLIBOR.DEC10.Mid
11/20/2010 11:49:23 PM - 	quote  USDLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 11:49:23 PM - 	Treating quote  USDLIBOR.MAR11.Mid
11/20/2010 11:49:23 PM - 	quote  USDLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 11:49:23 PM - 	Treating quote  USDLIBOR.JUN11.Mid
11/20/2010 11:49:23 PM - 	quote  USDLIBOR.JUN11.Mid  has been created/updated successfully.
11/20/2010 11:49:23 PM - 	Treating quote  USDLIBOR.SEP11.Mid
11/20/2010 11:49:23 PM - 	quote  USDLIBOR.SEP11.Mid  has been created/updated successfully.
11/20/2010 11:49:23 PM - 	Treating quote  USDLIBOR.2 Years.Mid
11/20/2010 11:49:23 PM - 	quote  USDLIBOR.2 Years.Mid  has been created/updated successfully.
11/20/2010 11:49:23 PM - 	Treating quote  USDLIBOR.3 Years.Mid
11/20/2010 11:49:23 PM - 	quote  USDLIBOR.3 Years.Mid  has been created/updated successfully.
11/20/2010 11:49:23 PM - 	Treating quote  USDLIBOR.4 Years.Mid
11/20/2010 11:49:23 PM - 	quote  USDLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 11:49:23 PM - 	Treating quote  USDLIBOR.5 Years.Mid
11/20/2010 11:49:23 PM - 	quote  USDLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 11:49:23 PM - 	Treating quote  USDLIBOR.6 Years.Mid
