
******************** RISK RUN START (11/21/2010 12:42:12 AM - ) ********************

11/21/2010 12:42:12 AM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 14-Jan-2010 Official -e
11/21/2010 12:42:23 AM - 	6718 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 6 Years
11/21/2010 12:42:23 AM - 	6750 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 7 Years
11/21/2010 12:42:23 AM - 	6750 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 10 Years
11/21/2010 12:42:25 AM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20100114/Next-Data\OptexCurves.20100114.CSV -e
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.1 Days.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.2 Days.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.2 Days.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.1 Weeks.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.1 Months.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.1 Months.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.2 Months.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.2 Months.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.3 Months.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.3 Months.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.6 Months.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.6 Months.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.1 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.1 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.18 Months.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.18 Months.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.2 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.2 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.3 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.3 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.4 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.5 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.6 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.7 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.7 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.8 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.8 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.9 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.9 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.10 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.10 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.12 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.12 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.15 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.15 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.20 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.20 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.25 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.25 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.30 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.30 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.40 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.40 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.50 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.50 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  JPYLIBOR.52 Years.Mid
11/21/2010 12:42:31 AM - 	quote  JPYLIBOR.52 Years.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.1 Days.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.1 Weeks.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.1 Months.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.1 Months.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.17-Mar-2010.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.17-Mar-2010.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.JUN10.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.JUN10.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.SEP10.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.DEC10.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.MAR11.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.JUN11.Mid
11/21/2010 12:42:31 AM - 	quote  EURLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 12:42:31 AM - 	Treating quote  EURLIBOR.SEP11.Mid
