COB Date,Aggregation Level,Portfolio Name,AttPointCorrelation,Index Maturity Date,DetPointCorrelation,CorrParallelShiftUp1pct,CorrParallelShiftDn1pct,CorrSkewShiftUp1pct,CorrSkewShiftDn1pct,RptCurrency
02/05/2010,,,0.91,06/20/2010,0.96,1058.72605749802,-2192.75233057143,-161497.446548763,162111.759535476,USD
02/05/2010,,,0.91,06/20/2010,0.96,-1058.96094722956,2193.15365153353,161519.395076693,-162133.776942565,USD
02/05/2010,2.5.1.9.2.3.1.1,L_USD_2591_ATHILON4,0.51,03/20/2013,0.71,219078.977387272,-232151.740137585,-1003811.11069064,985117.094434278,USD
02/05/2010,2.5.1.9.2.3.1.1,L_USD_3254_ATHILON 6,0.45,09/20/2013,0.65,337938.262706378,-355383.109881991,-1124703.41165043,1106860.39915255,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_3930_ATHILON_7,0.4,12/20/2013,0.55,625293.774113283,-654265.554998786,-1520001.44512952,1502065.93511374,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_8117_ATHILON_7_offset,0.4,12/20/2013,0.55,-625829.594374554,654815.720474852,1520929.83738844,-1502975.12386349,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_3450_CDX6_7-10_10y_ECD3450.,0.32,06/20/2016,0.34,-34466.6686888109,35007.904526913,-145748.801463949,147382.921952628,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_3449_CDX6_7-10_7y_ECD3449.,0.36,06/20/2013,0.41,2378.10168825696,-1908.48704716962,81751.459487683,-82252.1473651376,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_3453_CDX6_7-10_7y_ECD3453,0.32,06/20/2016,0.34,34479.6678449445,-35020.5525500303,145894.836849673,-147529.977046345,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_8112_CDX6_7-10_7y_ECD8112.,0.36,06/20/2013,0.41,-2379.40798902395,1909.92697342894,-81736.0545900903,82236.7721694456,USD
02/05/2010,2.5.1.9.2.3.1.2,L_CAD_3815_GNT_LSS_1_-_CDX7_30-60.,0.59,12/20/2016,1,6214878.69518213,-6151862.22827183,0,9613202.97376343,USD
02/05/2010,2.5.1.9.2.3.1.2,L_CAD_3816_GNT_LSS_1_-_GS.,0.59,12/20/2016,1,-6218277.09474171,6155201.9232929,0,-9470486.68174898,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_2743_NEREUS2_BNP,0.57,03/20/2013,0.9,-145851.529643675,180367.477695351,1460450.97266772,-1402159.78424223,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_8271_Nereus_2_MAV1,0.57,03/20/2013,0.9,113262.207547415,-136453.683098086,-1013064.58159525,973635.186458055,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_2602_NEREUS1_DRES,0.57,03/20/2013,0.9,-26126.9739546409,32311.2563586559,261679.460618705,-251234.392990744,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_8269_NEREUS_MAV1,0.57,03/20/2013,0.9,105754.931100129,-127411.817291294,-946046.857324198,909224.302673731,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_4272_CDX7_0-3_10y_ZERO_ECD4272.,0.27,12/20/2016,0.27,-1496.45565068885,1477.38637286885,2372.71515513042,-2342.47973555077,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_4273_CDX7_0-3_10y_ZERO_ECD4273.,0.27,12/20/2016,0.27,-1995.27420199285,1969.84849821916,3163.62020854405,-3123.30631574948,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_4280_CDX7_0-3_10y_ZERO_ECD4280.,0.27,12/20/2016,0.27,-805.783804595345,795.515732016239,1277.61584116571,-1261.33523077061,USD
02/05/2010,2.5.1.9.2.3.1.2,L_USD_8268_CDX7_0-3_10y_ZERO_ECD8268.,0.27,12/20/2016,0.27,4297.51365673986,-4242.7506025739,-6813.95120398842,6727.12128123,USD
