
******************** RISK RUN START (11/21/2010 5:11:35 AM - ) ********************

11/21/2010 5:11:35 AM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 26-Feb-2010 Official -e
11/21/2010 5:11:49 AM - 	8750 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 7 Years
11/21/2010 5:11:50 AM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20100226/Next-Data\OptexCurves.20100226.CSV -e
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.1 Days.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.2 Days.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.2 Days.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.1 Weeks.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.1 Months.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.1 Months.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.2 Months.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.2 Months.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.3 Months.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.3 Months.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.6 Months.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.6 Months.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.1 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.1 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.18 Months.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.18 Months.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.2 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.2 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.3 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.3 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.4 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.5 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.6 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.7 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.7 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.8 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.8 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.9 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.9 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.10 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.10 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.12 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.12 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.15 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.15 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.20 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.20 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.25 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.25 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.30 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.30 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.40 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.40 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.50 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.50 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  JPYLIBOR.52 Years.Mid
11/21/2010 5:11:58 AM - 	quote  JPYLIBOR.52 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.1 Days.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.1 Weeks.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.17-Mar-2010.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.17-Mar-2010.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.JUN10.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.JUN10.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.SEP10.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.DEC10.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.MAR11.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.JUN11.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.SEP11.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.DEC11.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.MAR12.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.MAR12.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.JUN12.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.JUN12.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.SEP12.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.SEP12.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.DEC12.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.DEC12.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.MAR13.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.MAR13.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.4 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.5 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.6 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.7 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.7 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.8 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.8 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.9 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.9 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.10 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.10 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.11 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.11 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.12 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.12 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.15 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.15 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.20 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.20 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.25 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.25 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.30 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.30 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.40 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.40 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.50 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.50 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.60 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.60 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  EURLIBOR.70 Years.Mid
11/21/2010 5:11:58 AM - 	quote  EURLIBOR.70 Years.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.17-Mar-2010.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.17-Mar-2010.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.JUN10.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.JUN10.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.DEC10.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.MAR11.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.JUN11.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.SEP11.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.DEC11.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.MAR12.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.MAR12.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.JUN12.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.JUN12.Mid  has been created/updated successfully.
11/21/2010 5:11:58 AM - 	Treating quote  GBPLIBOR.SEP12.Mid
11/21/2010 5:11:58 AM - 	quote  GBPLIBOR.SEP12.Mid  has been created/updated successfully.
