
******************** RISK RUN START (11/21/2010 8:33:57 AM - ) ********************

11/21/2010 8:33:57 AM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 30-Mar-2010 Official -e
11/21/2010 8:34:12 AM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20100330/Next-Data\OptexCurves.20100330.CSV -e
11/21/2010 8:34:20 AM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/21/2010 8:34:20 AM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 8:34:20 AM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/21/2010 8:34:20 AM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 8:34:20 AM - 	Treating quote  GBPLIBOR.1 Months.Mid
11/21/2010 8:34:20 AM - 	quote  GBPLIBOR.1 Months.Mid  has been created/updated successfully.
11/21/2010 8:34:20 AM - 	Treating quote  GBPLIBOR.2 Months.Mid
11/21/2010 8:34:20 AM - 	quote  GBPLIBOR.2 Months.Mid  has been created/updated successfully.
11/21/2010 8:34:20 AM - 	Treating quote  GBPLIBOR.16-Jun-2010.Mid
11/21/2010 8:34:20 AM - 	quote  GBPLIBOR.16-Jun-2010.Mid  has been created/updated successfully.
11/21/2010 8:34:20 AM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/21/2010 8:34:20 AM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 8:34:20 AM - 	Treating quote  GBPLIBOR.DEC10.Mid
11/21/2010 8:34:20 AM - 	quote  GBPLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 8:34:20 AM - 	Treating quote  GBPLIBOR.MAR11.Mid
11/21/2010 8:34:20 AM - 	quote  GBPLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 8:34:20 AM - 	Treating quote  GBPLIBOR.JUN11.Mid
11/21/2010 8:34:20 AM - 	quote  GBPLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 8:34:20 AM - 	Treating quote  GBPLIBOR.SEP11.Mid
