
******************** RISK RUN START (11/21/2010 9:47:11 AM - ) ********************

11/21/2010 9:47:11 AM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 09-Apr-2010 Official -e
11/21/2010 9:47:26 AM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20100409/Next-Data\OptexCurves.20100409.CSV -e
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.1 Months.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.1 Months.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.2 Months.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.2 Months.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.16-Jun-2010.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.16-Jun-2010.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.DEC10.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.MAR11.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.JUN11.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.SEP11.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.DEC11.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.MAR12.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.MAR12.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.JUN12.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.JUN12.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.SEP12.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.SEP12.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.DEC12.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.DEC12.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.MAR13.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.MAR13.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.JUN13.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.JUN13.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.4 Years.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.5 Years.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.6 Years.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.7 Years.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.7 Years.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.8 Years.Mid
11/21/2010 9:47:33 AM - 	quote  GBPLIBOR.8 Years.Mid  has been created/updated successfully.
11/21/2010 9:47:33 AM - 	Treating quote  GBPLIBOR.9 Years.Mid
11/21/2010 9:47:34 AM - 	quote  GBPLIBOR.9 Years.Mid  has been created/updated successfully.
11/21/2010 9:47:34 AM - 	Treating quote  GBPLIBOR.10 Years.Mid
11/21/2010 9:47:34 AM - 	quote  GBPLIBOR.10 Years.Mid  has been created/updated successfully.
11/21/2010 9:47:34 AM - 	Treating quote  GBPLIBOR.12 Years.Mid
11/21/2010 9:47:34 AM - 	quote  GBPLIBOR.12 Years.Mid  has been created/updated successfully.
11/21/2010 9:47:34 AM - 	Treating quote  GBPLIBOR.15 Years.Mid
11/21/2010 9:47:34 AM - 	quote  GBPLIBOR.15 Years.Mid  has been created/updated successfully.
