
******************** RISK RUN START (11/21/2010 1:36:33 PM - ) ********************

11/21/2010 1:36:33 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 14-May-2010 Official -e
11/21/2010 1:36:47 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20100514/Next-Data\OptexCurves.20100514.CSV -e
11/21/2010 1:36:55 PM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/21/2010 1:36:55 PM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 1:36:55 PM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/21/2010 1:36:55 PM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 1:36:55 PM - 	Treating quote  GBPLIBOR.16-Jun-2010.Mid
11/21/2010 1:36:55 PM - 	quote  GBPLIBOR.16-Jun-2010.Mid  has been created/updated successfully.
11/21/2010 1:36:55 PM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/21/2010 1:36:55 PM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 1:36:55 PM - 	Treating quote  GBPLIBOR.DEC10.Mid
11/21/2010 1:36:55 PM - 	quote  GBPLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 1:36:55 PM - 	Treating quote  GBPLIBOR.MAR11.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.JUN11.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.SEP11.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.DEC11.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.MAR12.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.MAR12.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.JUN12.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.JUN12.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.SEP12.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.SEP12.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.DEC12.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.DEC12.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.MAR13.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.MAR13.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.JUN13.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.JUN13.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.4 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.5 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.6 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.7 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.7 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.8 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.8 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.9 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.9 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.10 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.10 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.12 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.12 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.15 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.15 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.20 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.20 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.25 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.25 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.30 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.30 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.40 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.40 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.50 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.50 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.60 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.60 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  GBPLIBOR.70 Years.Mid
11/21/2010 1:36:56 PM - 	quote  GBPLIBOR.70 Years.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.1 Days.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.1 Weeks.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.16-Jun-2010.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.16-Jun-2010.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.SEP10.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.DEC10.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.MAR11.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.JUN11.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.SEP11.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.DEC11.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.MAR12.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.MAR12.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.JUN12.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.JUN12.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.SEP12.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.SEP12.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.DEC12.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.DEC12.Mid  has been created/updated successfully.
11/21/2010 1:36:56 PM - 	Treating quote  EURLIBOR.MAR13.Mid
11/21/2010 1:36:56 PM - 	quote  EURLIBOR.MAR13.Mid  has been created/updated successfully.
