Name, Series, Version (hardcoded), Term (years), Deal Spread, Delta, TrancheFrom, TrancheTo, EffectiveDate, Reference Spread, Bid, Mid, Ask, BidUpFront, MidUpFront, AskUpFront
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,120560.2516847060000000,0.0000,3.0000,19/05/2010,211.0000000000000000,500.000000000,500.000000000,500.000000000,30.000000000,30.000000000,30.000000000
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,57098.8832063246000000,3.0000,7.0000,19/05/2010,211.0000000000000000,830.000000000,830.000000000,830.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,15672.9040402019000000,7.0000,10.0000,19/05/2010,211.0000000000000000,160.000000000,160.000000000,160.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,4123.1237449057600000,10.0000,15.0000,19/05/2010,211.0000000000000000,40.000000000,40.000000000,40.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,3.00000,45.0000000000000000,1802.6957127996000000,15.0000,30.0000,19/05/2010,211.0000000000000000,18.000000000,18.000000000,18.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,221927.5135736170000000,0.0000,3.0000,19/05/2010,129.0000000000000000,500.000000000,500.000000000,500.000000000,47.375000000,47.625000000,47.875000000
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,250149.2152679580000000,3.0000,7.0000,19/05/2010,129.0000000000000000,887.961873040,898.1713960145,908.380918989,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,148532.2279732270000000,7.0000,10.0000,19/05/2010,129.0000000000000000,349.597282484,359.300683614,369.004084744,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,61403.3570827388000000,10.0000,15.0000,19/05/2010,129.0000000000000000,120.000000000,125.000000000,130.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,5.00000,60.0000000000000000,25415.2954413585000000,15.0000,30.0000,19/05/2010,129.0000000000000000,42.000000000,44.000000000,46.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,216665.5830052670000000,0.0000,3.0000,19/05/2010,139.0000000000000000,500.000000000,500.000000000,500.000000000,65.250000000,65.500000000,65.750000000
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,374047.5251419850000000,3.0000,7.0000,19/05/2010,139.0000000000000000,1053.229159533,1059.624872360,1066.020585187,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,243394.2366689480000000,7.0000,10.0000,19/05/2010,139.0000000000000000,459.238501844,465.061573009,470.884644174,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,134811.8614119720000000,10.0000,15.0000,19/05/2010,139.0000000000000000,201.000000000,205.500000000,210.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,7.00000,70.0000000000000000,50662.5068200665000000,15.0000,30.0000,19/05/2010,139.0000000000000000,76.000000000,77.000000000,78.000000000,NULL,NULL,NULL
DJ CDX.NA.IG,9,1,10.00000,80.0000000000000000,178907.2559807390000000,0.0000,3.0000,19/05/2010,147.0000000000000000,500.000000000,500.000000000,500.000000000,72.250000000,72.500000000,72.750000000
