TradeId,ProductDescription,TradeTag_ECD Id,Currency,Today_CurrentNotional,Today_MTM,LastBusinessDate_MTM,LTDPLChange,ResidualPL,EstimatedPL,CorrEffect,Today_Total_CSGammaEffect,Total_CSDeltaEffect,Today_Total_IRDelta,LastBusinessDate_CashflowEffect,Today_CashflowEffect,CashflowEffect,Today_1%bumping_BaseCorrSurface,LastBusinessDate_1%bumping_BaseCorrSurface,Today_RiskReserve,LastBusinessDate_RiskReserve,Today_Total_CSDeltaEffect 1,LastBusinessDate_Total_CSDeltaEffect 2
CDO0000639,ACA 3,1823,USD,,,,113581.076527778,113581.076527778,,,,,,,,,,,,,,
CDO0000640,ACA 3 BA,1882,USD,,,,-137464.804722223,-137464.804722223,,,,,,,,,,,,,,
CDO0000646,Athilon 4,2591,USD,-800000000.064,10372070.8880127,10154020.3190217,218050.568990961,-3854.08484411804,221904.653835079,-208440.750231709,-13541.7527651667,361839.716081891,-1961.9396734016,0,0,0,376995.329307077,368058.783294139,-3152240.94484792,-3092171.96922238,361839.716081891,586170.214027073
CDO0000661,Nereus Dresdner,2602,USD,394013676,-2201938.06543977,-2182597.21400514,-19340.8514346341,-2174.53784398086,-17166.3135906532,81265.8634623739,1299.9120933049,-74232.0600279371,430.934513718123,0,0,0,-119953.799720421,-114614.598151306,798193.606885096,789458.493981387,-74232.0600279371,-74324.7652065874
CDX0000726,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,2623,USD,33740000,76979.8845525615,76975.0528770704,-3100.46998415777,24.2539017109766,-3124.72388586874,0,12.7050448380591,-4204.95475871296,3.53213071638747,0,0,0,,,-441.298290397608,-435.84267692038,-4204.95475871296,-2062.96889676165
CDO0000647,Athilon 5,2643,USD,-400000000,4317414.60383641,4270859.06094144,46555.5428949622,457.332934416758,46098.2099605455,-62112.8316973179,-5515.49659537087,82919.8822245268,-838.165197033156,0,0,0,173994.035786655,169127.61234111,-1357954.59865558,-1344562.77347816,82919.8822245268,200997.905842492
CDO0000659,Nereus 2 BNP,2743,USD,2200000000,-13986217.3314368,-13877579.8131437,-108637.518293135,-12781.3793568857,-95856.1389362492,453618.004238047,7254.65802682654,-414335.219136693,2645.8705625711,0,0,0,-669572.606816617,-639770.188490269,4455637.7487635,4406883.30510385,-414335.219136693,-414879.258515566
CDO0000649,Athilon 6,3254,USD,-800000000,17014787.2400803,16583918.3871792,430868.852901079,16867.1490890495,414001.703812029,5893.72724078881,-21240.5028188373,454940.558943634,-3706.30588245206,0,0,0,470579.916578851,456134.819684483,-4539113.40382844,-4445955.19527783,454940.558943634,449309.745821211
CDO0000654,CDX6 7-10 7y ECD3449,3449,USD,10000000.012,-1594813.32205665,-1549865.39806408,-44947.9239925731,-1147.88569145025,-43800.0383011228,-1870.26621763772,-244.439086088309,-43820.9941962077,284.423421532079,0,0,0,-33.0541619470023,283.888260371266,300074.502229819,292639.124959186,-43820.9941962077,-2943.86328734965
CDO0000653,CDX6 7-10 7y ECD3450,3450,USD,-10000000.012,4801383.1341606,4702682.08210949,98701.0520511111,2807.53389277983,95893.5181583313,17122.4037281873,2188.47075155924,82816.7712994618,-1559.61259451667,0,0,0,-46419.414946475,-46020.7359728179,-676418.265468845,-670429.02153307,82816.7712994618,23192.4908351602
CDO0000655,CDX6 7-10 7y ECD3453,3453,USD,10000000.012,-4786669.54887358,-4687886.94299056,-98782.60588302,-2794.24888291846,-95988.3570001015,-17138.3179803587,-2189.09786308683,-82904.3207703723,1555.67472153436,0,0,0,46436.2811460364,46037.1687206802,677050.247994324,671048.671010955,-82904.3207703723,-23208.1112670944
CDO0000657,GNT LSS 1 - CDX7 30-60,3815,CAD,-4941750000,103662157.562925,104517965.896727,-855808.333802581,-151009.251194532,-704799.082608049,-2846113.35480252,-133488.636970894,1734655.77982725,-47038.6857063279,0,0,0,3930527.84492029,3868581.12429756,-26952456.3557013,-27042628.1266958,1734655.77982725,1302262.70405057
CDO0000658,GNT LSS 1 - GS,3816,CAD,4941750000,-97767664.0727958,-98621099.774014,853435.701218188,147827.922383814,705607.778834374,2847488.48900594,133577.094205637,-1735540.81109447,45144.084745644,0,0,0,-3932476.88080293,-3870546.84356144,26963258.6982257,27053457.9354929,-1735540.81109447,-1302834.44510665
CDO0000651,Athilon 7,3930,USD,-799999999.998,43125664.2455821,41690813.3836505,1434850.86193167,39346.5559175038,1395504.30601416,-142874.682893719,-15852.4508678377,1545031.42119771,-9787.53995914161,0,0,0,925578.315353147,904794.253945864,-10392950.750703,-10068366.9084663,1545031.42119771,975934.292582032
CDO0000671,CDX7 0-3 10y Zero ECD4272,4272,USD,-156000.004144001,-8190.26211225399,-10371.4559226259,2181.19381037191,943.245179913247,1237.94863045867,-469.532597501165,135.827756667977,2487.90174752009,3.08888688559527,0,0,0,-3204.55292764335,-3206.57365586902,-20921.8102708645,-21123.4432697992,2487.90174752009,-693.323095319957
CDO0000672,CDX7 0-3 10y Zero ECD4273,4273,USD,-208000.005712001,-10920.3494928056,-13828.6079092448,2908.25841643923,1257.66024041996,1650.59817601927,-626.043463896721,181.103676315711,3317.202333001,4.11851585115364,0,0,0,-4272.73724069245,-4275.43154499557,-27895.747052854,-28164.5910516748,3317.202333001,-924.430794587438
CDO0000673,CDX7 0-3 10y Zero ECD4280,4280,USD,-84000.0014990773,-4410.14109892014,-5584.63006349668,1174.48896457654,507.901244288121,666.587720288415,-252.825242604202,73.1380241884496,1339.63939083366,1.66324677005032,0,0,0,-1725.52848445723,-1726.61656887687,-11265.5900476373,-11374.1616615017,1339.63939083366,-373.327817303481
CDX0000727,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,8111,USD,-33740000,-76979.8845525615,-76975.0528770704,3100.46998415777,-24.2539017109766,3124.72388586874,0,-12.7050448380591,4204.95475871296,-3.53213071638747,0,0,0,,,441.298290397608,435.84267692038,4204.95475871296,2062.96889676165
CDO0000656,CDX6 7-10 7y ECD8112,8112,USD,-10000000.012,1598327.82019041,1553385.33522359,44942.4849668252,1149.27193086474,43793.2130359605,1870.18653753396,244.473723798708,43813.5404137597,-284.949226607638,0,0,0,31.2489109458547,-285.588454721012,-300030.935031891,-292596.887563148,43813.5404137597,2941.98385639909
CDO0000652,Athilon 7 offset,8117,USD,799999999.998,-42029175.6731933,-40594334.7920952,-1434840.88109809,-38748.8328675113,-1396092.04823058,143010.623120691,15880.8600813579,-1545799.78581369,9592.59578459337,0,0,0,-926170.436041608,-905381.058122411,10397544.3858181,10072803.0082608,-1545799.78581369,-976419.546422578
CDO0000674,CDX7 0-3 10y Zero ECD8268,8268,USD,448000.011355079,23520.7527039797,29784.6938953674,-6263.94119138771,-2708.80666201629,-3555.13452937142,1348.40130400208,-390.069459778172,-7144.74347135371,-8.87064950679196,0,0,0,9202.81865279282,9208.6217697414,60083.1473713559,60662.1959829756,-7144.74347135371,1991.08170721824
CDO0000662,Nereus Mav1,8269,USD,-1239557306.4,7607606.07267827,7546718.67318361,60887.399494661,6920.55758584244,53966.8419088186,-258043.156300607,-4218.60493501569,234993.326379493,-1452.27904702304,0,0,0,380700.939695005,363737.515959289,-2504493.29326828,-2476966.6728878,234993.326379493,233993.86046642
CDO0000660,Nereus 2 Mav1,8271,USD,-1358576368.8,9009595.07862399,8942604.64510048,66990.4335235041,7839.14809582423,59151.2854276798,-282765.685310616,-4622.31471103806,257499.221260321,-1686.88910037391,0,0,0,417177.426152411,398587.743407845,-2744522.24254102,-2714360.06484618,257499.221260321,256414.638150266
