TradeId,ProductDescription,TradeTag_ECD Id,Currency,Today_CurrentNotional,Today_MTM,LastBusinessDate_MTM,LTDPLChange,ResidualPL,EstimatedPL,CorrEffect,Today_Total_CSGammaEffect,Total_CSDeltaEffect,Today_Total_IRDelta,LastBusinessDate_CashflowEffect,Today_CashflowEffect,CashflowEffect
CDO0000639,ACA 3,1823,USD,,,,113581.076527778,113581.076527778,,,,,,,,
CDO0000640,ACA 3 BA,1882,USD,,,,-137464.804722223,-137464.804722223,,,,,,,,
CDO0000646,Athilon 4,2591,USD,-800000000.064,9730228.75952442,10111302.902259,-381074.142734554,-2813.70752074383,-378260.43521381,273930.829123847,-8982.49889131638,-553357.813337805,-1833.05929030869,0,0,0
CDO0000661,Nereus Dresdner,2602,USD,394013676,-2105839.07539394,-2177322.8071084,71483.731714468,3525.1996027179,67958.5321117501,-87909.2109541261,2461.69562491505,126764.86236052,412.037112561474,0,0,0
CDX0000726,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,2623,USD,33740000,76985.8144656579,76987.7924710796,8263.25012957015,-40.8574232099472,8304.1075527801,0,13.9485584279432,7150.60546964231,3.41172132954671,0,0,0
CDO0000647,Athilon 5,2643,USD,-400000000,4011397.17354516,4221204.97881374,-209807.80526858,-1441.36991932621,-208366.435349254,89574.6531607106,-3489.62216998611,-250430.962634868,-782.615686016809,0,0,0
CDO0000659,Nereus 2 BNP,2743,USD,2200000000,-13449578.0592337,-13849568.9043769,399990.845143257,20712.3334606038,379278.511682653,-490700.416832626,13735.9570098526,707587.695174715,2538.90629235953,0,0,0
CDO0000649,Athilon 6,3254,USD,-800000000,15554381.2436234,16277268.224504,-722886.980880631,2155.36880662048,-725042.349687252,-42969.142447838,-8804.30941240198,-667372.513993712,-3391.00436920114,0,0,0
CDO0000654,CDX6 7-10 7y ECD3449,3449,USD,10000000.012,-1533623.47954954,-1604910.08654627,71286.6069967335,507.839474256136,70778.7675224773,4566.15560478121,-293.940964000126,64552.9586269866,273.410523097147,0,0,0
CDO0000653,CDX6 7-10 7y ECD3450,3450,USD,-10000000.012,4632538.51523436,4752715.15708988,-120176.641855523,-10762.1175015992,-109414.524353924,-21587.2728599117,1234.05590145393,-91377.9197021896,-1512.98686639937,0,0,0
CDO0000655,CDX6 7-10 7y ECD3453,3453,USD,10000000.012,-4617687.61232982,-4737971.69811843,120284.085788611,10738.1856774662,109545.900111145,21607.5052392305,-1234.16010399393,91487.8957656982,1509.00848509725,0,0,0
CDO0000657,GNT LSS 1 - CDX7 30-60,3815,CAD,-4941750000,104552297.657087,104768716.827489,-216419.170402005,-109198.214420275,-107220.95598173,3328871.32402778,-55423.4631427877,-2860865.76653029,-47255.6835916638,0,0,0
CDO0000658,GNT LSS 1 - GS,3816,CAD,4941750000,-98664559.9194333,-98874911.9190023,210351.999569014,102763.928176797,107588.071392217,-3330459.69642609,55462.0945633055,2862043.89451794,45368.7504881695,0,0,0
CDO0000651,Athilon 7,3930,USD,-799999999.998,39902237.1055534,41612969.5994128,-1710732.49385937,-13858.2069701622,-1696874.2868892,45395.6108543481,-6952.20051100328,-1644105.92675672,-9013.63261435553,0,0,0
CDO0000671,CDX7 0-3 10y Zero ECD4272,4272,USD,-156000.004144001,-8134.1758609754,-5257.45218330319,-2876.72367767221,403.656170388328,-3280.37984806054,532.729061146084,93.4573174635706,-2782.81545935081,3.06164757531078,0,0,0
CDO0000672,CDX7 0-3 10y Zero ECD4273,4273,USD,-208000.005712001,-10845.5678243671,-7009.9362506952,-3835.63157367185,538.208227117515,-4373.83980078937,710.305415498891,124.609757282052,-3710.42061579979,4.08219677073939,0,0,0
CDO0000673,CDX7 0-3 10y Zero ECD4280,4280,USD,-84000.0014990773,-4379.94081003343,-2830.93576632945,-1549.00504370398,217.353319818583,-1766.35836352256,286.854107347111,50.3231713062582,-1498.43908043298,1.64857944925752,0,0,0
CDX0000727,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,8111,USD,-33740000,-76985.8144656579,-76987.7924710796,-8263.25012957015,40.8574232099472,-8304.1075527801,0,-13.9485584279432,-7150.60546964231,-3.41172132954671,0,0,0
CDO0000656,CDX6 7-10 7y ECD8112,8112,USD,-10000000.012,1537145.63332361,1608421.66181364,-71276.0284900316,-510.429905360987,-70765.5985846706,-4565.95784769181,294.00736708972,-64540.7388904692,-273.935004108353,0,0,0
CDO0000652,Athilon 7 offset,8117,USD,799999999.998,-38804475.7788249,-40515154.9412946,1710679.16246974,12901.4122717683,1697777.75019797,-45478.3222798478,6960.30725139046,1644966.5632449,8819.2541293323,0,0,0
CDO0000674,CDX7 0-3 10y Zero ECD8268,8268,USD,448000.011355079,23359.684495376,15098.3242003279,8261.3602950481,-1159.21771044867,9420.57800549677,-1529.8885839921,-268.390252915027,7991.67515557101,-8.79242379531497,0,0,0
CDO0000662,Nereus Mav1,8269,USD,-1239557306.4,7310505.54704131,7531836.66789103,-221331.12084972,-11549.6354117452,-209781.485437975,276526.524162436,-7659.48048490984,-393943.594687983,-1393.14597072937,0,0,0
CDO0000660,Nereus 2 Mav1,8271,USD,-1358576368.8,8683941.15857896,8926864.98052473,-242923.821945764,-13065.8483741113,-229857.973571653,303018.345575197,-8391.16345001896,-431685.964559154,-1621.50261264499,0,0,0
