HEADER,2010-07-30,QUANTIFI,CorrExposure.txt,2010-10-14 11:58:35,UAT,1,Confidential
COBDate,AggregationLevel,PortfolioName,AttPointCorrelation,Index Maturity Date,DetPointCorrelation,CorrParallelShiftUp1pct,CorrParallelShiftDn1pct,CorrSkewShiftUp1pct,CorrSkewShiftDn1pct,RptCurrency
07/30/2010,2.5.1.9.2.3.1.1,L_USD_2591_ATHILON4,0.46,03/20/2013,0.63,298428.395519458,305350.138181494,-782538.336208991,-763981.130723575,USD
07/30/2010,2.5.1.9.2.3.1.1,L_USD_3254_ATHILON 6,0.43,09/20/2013,0.61,374122.224729659,388647.025361927,-1000032.63348595,-981421.27178853,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_3930_ATHILON_7,0.38,12/20/2013,0.52,698709.155285217,726891.004287753,-1404521.19049098,-1382659.70852277,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_8117_ATHILON_7_offset,0.38,12/20/2013,0.52,-699195.355333549,-727387.56442163,1405252.25154504,1383372.20905622,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_3450_CDX6_7-10_10y_ECD3450.,0.33,06/20/2016,0.35,-35140.0758475691,-35676.1724713468,-150718.348393611,-152325.642498473,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_3449_CDX6_7-10_7y_ECD3449.,0.36,06/20/2013,0.4,-533.539053551089,-1053.05704160642,76332.7632632963,76624.9098420785,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_3453_CDX6_7-10_7y_ECD3453,0.33,06/20/2016,0.35,35151.6402485754,35687.3749148142,150859.062322434,152467.201882187,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_8112_CDX6_7-10_7y_ECD8112.,0.36,06/20/2013,0.4,532.0973482692,1051.50648767958,-76320.8214214146,-76613.0279135295,USD
07/30/2010,2.5.1.9.2.3.1.2,L_CAD_3815_GNT_LSS_1_-_CDX7_30-60.,0.65,12/20/2016,1.04,481409.574246451,418147.220099393,-6187103.39812906,-6187103.39812944,USD
07/30/2010,2.5.1.9.2.3.1.2,L_CAD_3816_GNT_LSS_1_-_GS.,0.65,12/20/2016,1.04,-484607.64097948,-421289.931813417,6187441.79308551,6187441.79308588,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_2743_NEREUS2_BNP,0.49,03/20/2013,0.8,-342754.089954873,-360157.232558263,871654.687640063,838023.694262801,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_8271_Nereus_2_MAV1,0.49,03/20/2013,0.79,244877.161823202,256858.73580541,-605465.536385711,-582122.998787388,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_2602_NEREUS1_DRES,0.49,03/20/2013,0.8,-61404.8714415392,-64522.6132774081,156167.656760867,150141.92601402,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_8269_NEREUS_MAV1,0.49,03/20/2013,0.79,228656.914449989,239844.666615591,-565381.694185421,-543583.781477762,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_4272_CDX7_0-3_10y_ZERO_ECD4272.,0.29,12/20/2016,0.29,2883.10670967311,2853.3695513566,2883.10670967311,2853.3695513566,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_4273_CDX7_0-3_10y_ZERO_ECD4273.,0.29,12/20/2016,0.29,3844.14228163406,3804.49273719071,3844.14228163406,3804.49273719071,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_4280_CDX7_0-3_10y_ZERO_ECD4280.,0.29,12/20/2016,0.29,1552.44206034797,1536.42974447673,1552.44206034797,1536.42974447673,USD
07/30/2010,2.5.1.9.2.3.1.2,L_USD_8268_CDX7_0-3_10y_ZERO_ECD8268.,0.29,12/20/2016,0.29,-8279.69105062016,-8194.29203199975,-8279.69105062016,-8194.29203199975,USD
TRAILER,2010-07-30,QUANTIFI,CorrExposure.txt,18,0,UAT,1,Confidential
