Quantifi Trade Id,TradeTag_ECD Id,ProductDescription,Size,CurrentNotional,ReferenceEntityName,Today_Pv,Yesterday_Pv,Today_TR_MAT_DELTA,Today_TR_MAT_HDGE_DELTA,Today_TR_MAT_HDGE_NOTNL,Yesterday_TR_MAT_DELTA,Yesterday_TR_MAT_HDGE_DELTA,Yesterday_TR_MAT_HDGE_NOTNL,Today_JTD,Yesterday_JTD,Today_Total_SpreadDelta,Yesterday_Total_SpreadDelta,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y
CDS0001022,1584,MBIA CDS,24500000000,24500000000,MBIA INS CORP,-7920990468,-7974237777,-655457.8708,-176.2602393,3718693867,-622661.3597,-173.1739297,3595583705,-1388913644,-1335663751,-655458.2084,-622661.7155,43902.95777,44998.61484
CDS0001023,1584,MBIA CDS,-24500000000,-24500000000,MBIA INS CORP,7920990468,7974237777,655457.8708,-176.2602393,-3718693867,622661.3597,-173.1739297,-3595583705,1388913644,1335663751,655458.2084,622661.7155,43902.95777,44998.61484
CDO0000646,2591,Athilon 4,-1600000000,-1600000000,*,4012762.927,4096767.506,152459.4378,-31066.39448,-590229514.3,152834.6903,-31117.0447,-590491775.8,53322241.81,54617017.53,152458.811,152833.6498,206538.2418,210503.4087
CDO0000649,3254,Athilon 6,-1600000000,-1600000000,*,11108946.44,11567028.67,271143.8763,-32880.07288,-889398125.7,273997.1328,-32909.16826,-897727855.7,111419088.8,115447487.1,271142.9742,273997.7904,163346.1006,166939.3283
CDO0000651,3930,Athilon 7,-1600000000,-1600000000,*,30142276.45,31491313.71,420750.242,-33982.8292,-1294515217,425357.2006,-33981.76487,-1308342025,230989186.9,240649290,420750.9619,425357.8908,200488.6724,205391.3687
CDO0000652,8117,Athilon 7 offset,1600000000,1600000000,*,-29036285.07,-30386908.62,-420945.7175,-33982.8292,1295115800,-425555.0821,-33981.76487,1308949804,-231089754.2,-240754447.2,-420946.4369,-425555.772,200488.6724,205391.3687
CDO0000653,3450,CDX6 7-10 7y ECD3450,-20000000.02,-20000000.02,*,4314264.336,4441488.899,25533.4395,-64668.90455,-47997542.08,25061.71202,-64503.60107,-47265280.74,39549076.1,39641981.92,25533.60993,25061.89719,228055.1067,233307.7525
CDO0000654,3449,CDX6 7-10 7y ECD3449,20000000.02,20000000.02,*,-1488696.173,-1564985.689,-19325.81222,-34000.92052,68465723.12,-19681.04949,-34041.6156,69638503.21,-25309960.23,-26422593.77,-19325.95231,-19681.1966,159638.5747,163315.4267
CDO0000655,3453,CDX6 7-10 7y ECD3453,20000000.02,20000000.02,*,-4299027.871,-4426416.754,-25563.91024,-64668.90455,48054458.38,-25092.05188,-64503.60107,47322120.68,-39591658.04,-39685393.77,-25564.08084,-25092.23722,228055.1067,233307.7525
CDO0000656,8112,CDX6 7-10 7y ECD8112,-20000000.02,-20000000.02,*,1492251.39,1568528.283,19322.5651,-34000.92052,-68454238.68,19677.72785,-34041.6156,-69626770.93,25306156.18,26418587.03,19322.70517,19677.87493,159638.5747,163315.4267
CDO0000657,3815,GNT LSS 1 - CDX7 30-60,-9648460487,-9648460487,*,90156819.55,94377739.5,1885875.256,-69438.49259,-3171269470,1918795.176,-69222.04566,-3232935537,215987755.3,223320140.7,1885830.095,1918752.717,213069.9399,218408.2572
CDO0000658,3816,GNT LSS 1 - GS,9648460487,9648460487,*,-84228096.92,-88469182.28,-1886733.122,-69438.49259,3172711407,-1919672.596,-69222.04566,3234413179,-216078517.3,-223414445.1,-1886687.925,-1919630.104,213069.9399,218408.2572
CDO0000659,2743,Nereus 2 BNP,4400000000,4400000000,*,-2392396.081,-2412184.327,-195000.851,-39823.31351,754205694.7,-192463.7641,-39881.99663,742957797.7,-43243534.79,-44156786.91,-194995.6611,-192458.9235,242899.0727,246884.9356
CDO0000660,8271,Nereus 2 Mav1,-2717152738,-2717152738,*,1856198.826,1870206.278,119993.5991,-39821.69452,-464093496.5,118475.1072,-39880.23527,-457337946.5,26766725.87,27342835.6,119990.3855,118472.1142,243521.053,247548.9917
CDO0000661,2602,Nereus Dresdner,788027352,788027352,*,-124377.147,-128117.8417,-34932.16535,-39823.31351,135107288.9,-34477.64229,-39881.99663,133092228.6,-7746487.921,-7910081.154,-34931.23563,-34476.77513,242899.0727,246884.9356
CDO0000662,8269,Nereus Mav1,-2479114613,-2479114613,*,1078581.911,1091760.387,109497.7462,-39821.69452,-423499171,108112.0119,-39880.23527,-417334272.9,24425244.5,24950951.13,109494.8137,108109.2806,243521.053,247548.9917
CDO0000671,4272,CDX7 0-3 10y Zero ECD4272,-1114285.724,-312000.0083,*,1615.640231,6406.189595,492.7128801,-69438.49259,-928991.7028,466.8621855,-69222.04566,-885597.0047,10336226.09,10027136.26,492.7165017,466.865435,213069.9399,218408.2572
