TradeId,ProductDescription,TradeTag_ECD Id,Currency,Today_CurrentNotional,Today_MTM,LastBusinessDate_MTM,LTDPLChange,ResidualPL,EstimatedPL,CorrEffect,Today_Total_CSGammaEffect,Total_CSDeltaEffect,Today_Total_IRDelta,LastBusinessDate_CashflowEffect,Today_CashflowEffect,CashflowEffect
CDS0001022,MBIA CDS,1584,USD,12250000,-7942839.421,-7920990.468,7913047629,7936313985,-23266356.34,0,-11269.04285,-24342182.35,1175.967464,0,0,0
CDS0001023,MBIA CDS,1584,USD,-12250000,7942839.421,7920990.468,-7913047629,-7936313985,23266356.34,0,11269.04285,24342182.35,-1175.967464,0,0,0
CDO0000639,ACA 3,1823,USD,,,,113581.0765,113581.0765,,,,,,,,
CDO0000640,ACA 3 BA,1882,USD,,,,-137464.8047,-137464.8047,,,,,,,,
CDO0000646,Athilon 4,2591,USD,-800000000.1,3952754.769,4012762.927,-60008.15847,4996.450016,-65004.60849,435356.2499,-1796.917642,-138863.0009,-849.7753481,0,0,0
CDO0000661,Nereus Dresdner,2602,USD,394013676,-119730.5042,-124377.147,4646.642843,-615.2557342,5261.898578,-123229.1122,509.7393369,35392.4396,73.4991253,0,0,0
CDX0000726,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,2623,USD,33740000,-47065.58597,-47957.39513,4039.052586,-17.29165573,4056.344241,0,8.912203286,2991.158905,2.79096911,0,0,0
CDO0000659,Nereus 2 BNP,2743,USD,2200000000,-2366379.959,-2392396.081,26016.12169,-3315.425478,29331.54716,-687892.6443,2844.863,197574.5143,645.7929156,0,0,0
CDO0000649,Athilon 6,3254,USD,-800000000,10920169.55,11108946.44,-188776.8853,7390.453023,-196167.3383,409911.5914,-10241.43446,-247910.9612,-2442.427454,0,0,0
CDO0000654,CDX6 7-10 7y ECD3449,3449,USD,10000000.01,-1442127.012,-1488696.173,46569.16164,-406.1488336,46975.31048,19083.24311,80.52980048,31408.65393,261.0348249,0,0,0
CDO0000653,CDX6 7-10 7y ECD3450,3450,USD,-10000000.01,4273336.76,4314264.336,-40927.57654,-2600.109215,-38327.46733,-29798.34777,358.8150334,-28432.53221,-1389.688417,0,0,0
CDO0000655,CDX6 7-10 7y ECD3453,3453,USD,10000000.01,-4258051.347,-4299027.871,40976.52307,2593.219209,38383.30386,29815.54321,-358.730798,28477.14996,1385.552623,0,0,0
CDO0000657,GNT LSS 1 - CDX7 30-60,3815,CAD,-4941750000,91129494.93,90156819.55,972675.3838,16924.89948,955750.4843,462497.8682,-20640.07529,-214279.9366,-41659.29418,0,0,0
CDO0000658,GNT LSS 1 - GS,3816,CAD,4941750000,-85200685.96,-84228096.92,-972589.0355,-16938.06527,-955650.9702,-462703.727,20656.77409,214445.1774,39772.83457,0,0,0
CDO0000651,Athilon 7,3930,USD,-800000000,29341336.31,30142276.45,-800940.1383,16050.13101,-816990.2693,523555.0211,-9273.30647,-661658.7217,-6775.82604,0,0,0
CDO0000671,CDX7 0-3 10y Zero ECD4272,4272,USD,-156000.0041,-1450.053992,1615.640231,-3065.694223,1101.659304,-4167.353527,-1458.13846,88.7262707,-2673.3777,1.025097283,0,0,0
CDO0000672,CDX7 0-3 10y Zero ECD4273,4273,USD,-208000.0057,-1933.405325,2154.186977,-4087.592302,1468.87907,-5556.471372,-1944.184615,118.3016967,-3564.503604,1.366796379,0,0,0
CDO0000673,CDX7 0-3 10y Zero ECD4280,4280,USD,-84000.0015,-780.7982968,869.9601168,-1650.758414,593.2011552,-2243.959569,-785.1514717,47.77568685,-1439.511057,0.551975455,0,0,0
CDX0000727,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,8111,USD,-33740000,47065.58597,47957.39513,-4039.052586,17.29165573,-4056.344241,0,-8.912203286,-2991.158905,-2.79096911,0,0,0
CDO0000656,CDX6 7-10 7y ECD8112,8112,USD,-10000000.01,1445689.631,1492251.39,-46561.75903,405.6920866,-46967.45112,-19082.59468,-80.43211205,-31403.36986,-261.5594675,0,0,0
CDO0000652,Athilon 7 offset,8117,USD,800000000,-28235122.92,-29036285.07,801162.1499,-16213.34855,817375.4985,-523837.5455,9280.872843,661936.3531,6581.866116,0,0,0
CDO0000674,CDX7 0-3 10y Zero ECD8268,8268,USD,448000.0114,4164.257614,-4639.787324,8804.044939,-3163.739526,11967.78446,4187.474547,-254.8036573,7677.392361,-2.943869117,0,0,0
CDO0000662,Nereus Mav1,8269,USD,-1239557306,1064877.907,1078581.911,-13704.00422,1794.784927,-15498.78915,386454.223,-1574.249556,-110167.8788,-326.7967796,0,0,0
CDO0000660,Nereus 2 Mav1,8271,USD,-1358576369,1841150.501,1856198.826,-15048.32511,1919.655853,-16967.98096,423495.3643,-1724.896227,-120729.6918,-451.6278009,0,0,0
