ProductDescription,TradeId,Strategy,SubStrategy,LTDPLChange,EstimatedPL,PercentResidualPL,ResidualPL,Total_CSDeltaEffect,Total_CSGammaEffect,Total_IREffect,CorrEffect,RecoveryEffect,DefaultEffect,ThetaEffect,CashflowEffect,NewBusinessEffect,TerminatedEffect,UnexplainedPL
Athilon 4,CDO0000646,POC_20090820,,-386212.900778642,-395225.238719213,-2.33351550981376,9012.33794057125,-416816.134338766,-6145.58382385314,,56262.6865697945,0,,-28526.2071263883,0,,,
Athilon 5,CDO0000647,POC_20090820,,-181537.204539424,-184539.56785593,-1.65385565131062,3002.36331650658,-211670.63578675,-2603.11417969985,,42147.6041112615,0,,-12413.4220007425,0,,,
Athilon 6,CDO0000649,POC_20090820,,-640616.019587986,-667893.474920064,-4.25800393652675,27277.4553320775,-632355.760126958,-16548.1592852666,,12981.8688932486,0,,-31971.4244010877,0,,,
Athilon 7,CDO0000651,POC_20090820,,-1781086.21851001,-1842992.59312691,-3.47576518045731,61906.3746168949,-1690864.23446846,-7307.72345309093,,-72529.6992579475,0,,-72290.9359474108,0,,,
Athilon 7 offset,CDO0000652,POC_20090820,,1782706.83303652,1843945.20457238,-3.43513416794101,-61238.3715358567,1691676.35619075,7313.44197462422,,72584.8460553085,0,,72370.5603516996,0,,,
CDX6 7-10 7y ECD3450,CDO0000653,POC_20090820,,-103244.385067396,-110071.997345733,-6.61305917399796,6827.6122783372,-87017.4857989139,2776.39187690224,,-23663.0014983541,0,,-2167.9019253673,0,,,
CDX6 7-10 7y ECD3449,CDO0000654,POC_20090820,,30712.0031319046,31341.2166597565,-2.04875444024111,-629.213527851884,26319.52826625,287.103881561587,,2314.12326803627,0,,2420.46124390862,0,,,
CDX6 7-10 7y ECD3453,CDO0000655,POC_20090820,,103364.423133899,110172.26533503,-6.58625278865244,-6807.84220113096,87091.1255072463,-2776.31897523574,,23684.3036319543,0,,2173.15517106559,0,,,
CDX6 7-10 7y ECD8112,CDO0000656,POC_20090820,,-30707.5211053726,-31338.4581226379,-2.05466607057046,630.937017265354,-26317.8892249176,-286.821285973493,,-2313.93270109335,0,,-2419.81491065351,0,,,
GNT LSS 1 - CDX7 30-60,CDO0000657,POC_20090820,,-426404.534301223,-567558.274900525,-32.3684811620556,141153.740599302,-3208113.16267673,-80488.4972896669,,2803584.21601989,0,,-82540.8309540162,0,,,
GNT LSS 1 - GS,CDO0000658,POC_20090820,,435521.39062037,567931.876835449,-29.7279275661582,-132410.486215078,3209286.05489541,80536.4991265941,,-2804931.37861345,0,,83040.7014269015,0,,,
Nereus 2 BNP,CDO0000659,POC_20090820,,517846.46041638,522655.605212796,-0.928681600439722,-4809.14479641529,588768.561880095,12956.9826519488,,-114954.424867229,0,,35884.4855479803,0,,,
Nereus 2 Mav1,CDO0000660,POC_20090820,,-322630.968906941,-324870.397667867,-0.69411463149767,2239.42876092577,-364948.69618547,-7353.41711279865,,69369.2104356336,0,,-21937.4948052317,0,,,
Nereus Dresdner,CDO0000661,POC_20090820,,92905.7201930543,93637.848541487,-0.788033661341145,-732.128348432685,105472.620712477,2321.97568349834,,-20594.1495596317,0,,6437.40170514327,0,,,
Nereus Mav1,CDO0000662,POC_20090820,,-294692.694394738,-296474.6382273,-0.604678658974313,1781.94383256137,-333029.677442585,-6712.09260321917,,63304.1967941199,0,,-20037.0649756156,0,,,
CDX7 0-3 10y Zero ECD4272,CDO0000671,POC_20090820,,1879.26021877016,1672.67651645055,10.9928204862871,206.583702319609,1822.33814846777,444.50428734771,,434.837079818961,0,,-1029.0029991839,0,,,
CDX7 0-3 10y Zero ECD4273,CDO0000672,POC_20090820,,2505.68029394228,2230.23539590081,10.992818944515,275.444898041466,2429.78420014409,592.672422287664,,579.782773612265,0,,-1372.00400014321,0,,,
CDX7 0-3 10y Zero ECD4280,CDO0000673,POC_20090820,,1011.90933974681,900.671975392519,10.9928192166033,111.237364354291,981.258994464306,239.348473181705,,234.143040938193,0,,-554.078533191685,0,,,
CDX7 0-3 10y Zero ECD8268,CDO0000674,POC_20090820,,-5396.84985245927,-4803.5838831614,10.9928196173093,-593.265969297871,-5233.38134306282,-1276.52517824791,,-1248.76289436942,0,,2955.08553251874,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000726,POC_20090820,,-2918.16205230563,-2939.7532570878,-0.739890533670071,21.5912047821616,-4053.33987522088,88.8834599125573,,0,0,,1024.70315822052,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000727,POC_20090820,,2918.16205230563,2939.7532570878,-0.739890533670071,-21.5912047821616,4053.33987522088,-88.8834599125573,,0,0,,-1024.70315822052,0,,,
ACA 3,CDO0000639,POC_20090820,,113581.076527778,,,113581.076527778,,,,,,,,,,,
ACA 3 BA,CDO0000640,POC_20090820,,-137464.804722223,,,-137464.804722223,,,,,,,,,,,
