ReferenceEntityLongName,ProductDescription,TradeTag_ECD Id,Quantifi Trade Id,Today_CDS Spread Quote 1Y,Yesterday_CDS Spread Quote 1Y,Today_CDS Spread Quote 2Y,Yesterday_CDS Spread Quote 2Y,Today_CDS Spread Quote 3Y,Yesterday_CDS Spread Quote 3Y,Today_CDS Spread Quote 4Y,Yesterday_CDS Spread Quote 4Y,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y,Today_CDS Spread Quote 7Y,Yesterday_CDS Spread Quote 7Y,Today_CDS Spread Quote 10Y,Yesterday_CDS Spread Quote 10Y,Today_RecoveryRate,Yesterday_RecoveryRate,Today_JTD,Yesterday_JTD,Today_APCorrelation,Yesterday_APCorrelation,Today_DPCorrelation,Yesterday_DPCorrelation,Today_BaseCorrelationLevelDelta,Yesterday_BaseCorrelationLevelDelta,Today_BaseCorrelationSkewDelta,Yesterday_BaseCorrelationSkewDelta,Today_Theta,Yesterday_Theta,Today_SpreadDelta_1 Years,Yesterday_SpreadDelta_1 Years,Today_SpreadDelta_2 Years,Yesterday_SpreadDelta_2 Years,Today_SpreadDelta_3 Years,Yesterday_SpreadDelta_3 Years,Today_SpreadDelta_4 Years,Yesterday_SpreadDelta_4 Years,Today_SpreadDelta_5 Years,Yesterday_SpreadDelta_5 Years,Today_SpreadDelta_7 Years,Yesterday_SpreadDelta_7 Years,Today_SpreadDelta_10 Years,Yesterday_SpreadDelta_10 Years,Today_SpreadGamma_1 Years,Yesterday_SpreadGamma_1 Years,Today_SpreadGamma_2 Years,Yesterday_SpreadGamma_2 Years,Today_SpreadGamma_3 Years,Yesterday_SpreadGamma_3 Years,Today_SpreadGamma_4 Years,Yesterday_SpreadGamma_4 Years,Today_SpreadGamma_5 Years,Yesterday_SpreadGamma_5 Years,Today_SpreadGamma_7 Years,Yesterday_SpreadGamma_7 Years,Today_SpreadGamma_10 Years,Yesterday_SpreadGamma_10 Years,Today_SpreadHdgeDelta_1 Years,Yesterday_SpreadHdgeDelta_1 Years,Today_SpreadHdgeDelta_2 Years,Yesterday_SpreadHdgeDelta_2 Years,Today_SpreadHdgeDelta_3 Years,Yesterday_SpreadHdgeDelta_3 Years,Today_SpreadHdgeDelta_4 Years,Yesterday_SpreadHdgeDelta_4 Years,Today_SpreadHdgeDelta_5 Years,Yesterday_SpreadHdgeDelta_5 Years,Today_SpreadHdgeDelta_7 Years,Yesterday_SpreadHdgeDelta_7 Years,Today_SpreadHdgeDelta_10 Years,Yesterday_SpreadHdgeDelta_10 Years,Today_SpreadHdgeNotnl_1 Years,Yesterday_SpreadHdgeNotnl_1 Years,Today_SpreadHdgeNotnl_2 Years,Yesterday_SpreadHdgeNotnl_2 Years,Today_SpreadHdgeNotnl_3 Years,Yesterday_SpreadHdgeNotnl_3 Years,Today_SpreadHdgeNotnl_4 Years,Yesterday_SpreadHdgeNotnl_4 Years,Today_SpreadHdgeNotnl_5 Years,Yesterday_SpreadHdgeNotnl_5 Years,Today_SpreadHdgeNotnl_7 Years,Yesterday_SpreadHdgeNotnl_7 Years,Today_SpreadHdgeNotnl_10 Years,Yesterday_SpreadHdgeNotnl_10 Years
,Athilon 4,2591,CDO0000646,,,,,,,,,,,,,,,,,,,0.529397318018714,0.529876750576627,0.709515676034392,0.711571608724469,340259.087012763,342886.641364447,-442376.707972155,-461159.419151364,-27384.6775543205,-28526.2071263883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 5,2643,CDO0000647,,,,,,,,,,,,,,,,,,,0.528729566906746,0.530582513975433,0.686369520464686,0.691568833247466,166757.830575423,168853.480225581,-209082.968242419,-219447.802504577,-11890.4227985153,-12413.4220007425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 6,3254,CDO0000649,,,,,,,,,,,,,,,,,,,0.468399845479288,0.469249058312482,0.669821555301451,0.671513578527674,427357.117202881,436455.115451365,-574587.289953465,-593801.379558814,-30398.7696449887,-31971.4244010877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 7,3930,CDO0000651,,,,,,,,,,,,,,,,,,,0.400317306982685,0.402286864789309,0.540669839827705,0.544160946728944,894929.510016867,907796.007867652,-673034.179215586,-698406.463057541,-69988.8235015869,-72290.9359474108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Athilon 7 offset,8117,CDO0000652,,,,,,,,,,,,,,,,,,,0.400317306982685,0.402286864789309,0.540669839827705,0.544160946728944,-895449.175270328,-908331.973947745,673348.30854932,698737.80182624,70065.11374202,72370.5603516996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD3450,3450,CDO0000653,,,,,,,,,,,,,,,,,,,0.310118100182501,0.309650936188352,0.333131251166771,0.330893520142245,-42883.0842373809,-43977.0417589649,-121166.680635642,-122043.119970739,-2231.781631683,-2167.9019253673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD3449,3449,CDO0000654,,,,,,,,,,,,,,,,,,,0.416996519744522,0.415789467842641,0.457709108831065,0.456152996545135,804.7067872172,975.000261202,61850.7640225816,62924.2324953591,2358.95838451502,2420.46124390862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD3453,3453,CDO0000655,,,,,,,,,,,,,,,,,,,0.310118100182501,0.309650936188352,0.333131251166771,0.330893520142245,42895.6889568126,43990.6515835608,121282.120636968,122159.841513859,2236.93420115206,2173.15517106559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDX6 7-10 7y ECD8112,8112,CDO0000656,,,,,,,,,,,,,,,,,,,0.416996519744522,0.415789467842641,0.457709108831065,0.456152996545135,-806.023692588256,-976.326383505839,-61840.8655465472,-62914.1873340105,-2358.32573779533,-2419.81491065351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNT LSS 1 - CDX7 30-60,3815,CDO0000657,,,,,,,,,,,,,,,,,,,0.651389669817424,0.644326664879303,0.935515764179067,0.932738811066904,4041829.15164844,4059793.25328563,-505.504489148064,486.232681420482,-83155.8649330586,-84414.5078166723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
