ProductDescription,TradeId,Strategy,SubStrategy,LTDPLChange,EstimatedPL,PercentResidualPL,ResidualPL,Total_CSDeltaEffect,Total_CSGammaEffect,Total_IREffect,CorrEffect,RecoveryEffect,DefaultEffect,ThetaEffect,CashflowEffect,NewBusinessEffect,TerminatedEffect,UnexplainedPL
Athilon 4,CDO0000646,POC_20090820,,-264812.15730021,-257648.16071188,2.70531257377586,-7163.99658832967,-315989.82519488,-6141.08366052982,,91867.42569785,0,,-27384.6775543205,0,,,
Athilon 5,CDO0000647,POC_20090820,,-61338.4318515053,-60315.9474444745,1.66695557119253,-1022.4844070308,-84174.6239686523,-2201.05765079198,,37950.1569734851,0,,-11890.4227985153,0,,,
Athilon 6,CDO0000649,POC_20090820,,-321686.345938105,-320906.694965437,0.24236371313632,-779.65097266814,-312915.587612305,-15336.5557520749,,37744.2180439316,0,,-30398.7696449887,0,,,
Athilon 7,CDO0000651,POC_20090820,,-728405.836490281,-708170.767949302,2.77799374020377,-20235.0685409789,-648585.201897992,-7881.2113597417,,18284.4688100187,0,,-69988.8235015869,0,,,
Athilon 7 offset,CDO0000652,POC_20090820,,727831.365046714,708480.601473699,2.65868778158144,19350.7635730144,648829.379573821,7889.93151781324,,-18303.8233599552,0,,70065.11374202,0,,,
CDX6 7-10 7y ECD3450,CDO0000653,POC_20090820,,-54098.2132675815,-45402.9559392641,16.0730952153795,-8695.25732831743,-38301.6951000146,3417.03777709214,,-8286.51698465864,0,,-2231.781631683,0,,,
CDX6 7-10 7y ECD3449,CDO0000654,POC_20090820,,48723.4321732798,47648.2877777356,2.20662697102417,1075.14439554426,40553.6845592629,-45.7151395386787,,4781.35997349634,0,,2358.95838451502,0,,,
CDX6 7-10 7y ECD3453,CDO0000655,POC_20090820,,54144.8169609793,45472.4479614874,16.0169883033159,8672.36899949185,38358.8973911303,-3417.32599417848,,8293.94236338354,0,,2236.93420115206,0,,,
CDX6 7-10 7y ECD8112,CDO0000656,POC_20090820,,-48716.186920116,-47638.8941858975,2.21136505610552,-1077.29273421849,-40545.6950101411,46.0452439836944,,-4780.91868194474,0,,-2358.32573779533,0,,,
GNT LSS 1 - CDX7 30-60,CDO0000657,POC_20090820,,-118070.370018209,525005.302983116,531.915206629313,-643075.673001325,-512783.759044502,-179919.380161481,,1298919.30691204,0,,-81210.8647229441,0,,,
GNT LSS 1 - GS,CDO0000658,POC_20090820,,95612.9610983939,-524712.142857957,633.612648560574,620325.103956351,513122.319737052,180008.64284127,,-1299546.81162507,0,,81703.7061887873,0,,,
Nereus 2 BNP,CDO0000659,POC_20090820,,253247.101278927,240302.706311747,5.1113694497623,12944.3949671797,477295.026920371,10894.5199659315,,-282637.497678008,0,,34750.6571034528,0,,,
Nereus 2 Mav1,CDO0000660,POC_20090820,,-152470.519826878,-144145.725840146,5.45993677740741,-8324.79398673197,-291796.623967132,-6718.67320920508,,175816.72545436,0,,-21447.1541181691,0,,,
Nereus Dresdner,CDO0000661,POC_20090820,,45206.3187802217,43056.3354444666,4.75593543948499,2149.98333575513,85504.1486797913,1952.30070781208,,-50634.056093762,0,,6233.94215062517,0,,,
Nereus Mav1,CDO0000662,POC_20090820,,-138809.963966425,-131554.892635847,5.22662143499441,-7255.07133057716,-266277.412036153,-6132.34390186375,,160443.750326224,0,,-19588.8870240552,0,,,
CDX7 0-3 10y Zero ECD4272,CDO0000671,POC_20090820,,-6704.4102611015,-6954.26689652157,-3.72675038802029,249.856635420072,-6569.06600785429,446.756516797127,,197.470982842578,0,,-1029.42838830699,0,,,
CDX7 0-3 10y Zero ECD4273,CDO0000672,POC_20090820,,-8939.21368949109,-9272.35586279872,-3.72675030354482,333.142173307629,-8758.75468502841,595.675363844423,,263.294644026395,0,,-1372.57118564114,0,,,
CDX7 0-3 10y Zero ECD4280,CDO0000673,POC_20090820,,-3610.06703219769,-3744.60522617156,-3.72675057759147,134.538193973867,-3537.18935800681,240.56119241067,,106.330528295943,0,,-554.307588871365,0,,,
CDX7 0-3 10y Zero ECD8268,CDO0000674,POC_20090820,,19253.6909827903,19971.2280016706,-3.72675046837342,-717.537018880306,18865.0100508943,-1282.99305687845,,-567.096155164909,0,,2956.3071628196,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000726,POC_20090820,,8394.83925328343,8439.56272048408,-0.532749536367315,-44.7234672006489,7282.79760715502,104.881880121259,,0,0,,1051.8832332078,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000727,POC_20090820,,-8394.83925328343,-8439.56272048408,-0.532749536367315,44.7234672006489,-7282.79760715502,-104.881880121259,,0,0,,-1051.8832332078,0,,,
ACA 3,CDO0000639,POC_20090820,,113581.076527778,,,113581.076527778,,,,,,,,,,,
ACA 3 BA,CDO0000640,POC_20090820,,-137464.804722223,,,-137464.804722223,,,,,,,,,,,
