TradeId,ProductDescription,TradeTag_ECD Id,Currency,Today_CurrentNotional,Today_MTM,LastBusinessDate_MTM,LTDPLChange,ResidualPL,EstimatedPL,CorrEffect,Today_Total_CSGammaEffect,Total_CSDeltaEffect,Today_Total_IRDelta,LastBusinessDate_CashflowEffect,Today_CashflowEffect,CashflowEffect
CDO0000639,ACA 3,1823,USD,,,,113581.076527778,113581.076527778,,,,,,,,
CDO0000640,ACA 3 BA,1882,USD,,,,-137464.804722223,-137464.804722223,,,,,,,,
CDO0000646,Athilon 4,2591,USD,-800000000.064,7881958.54285041,8146770.70015062,-264812.15730021,-7163.99658832967,-257648.16071188,148130.112267644,-6141.08366052982,-315989.82519488,-1503.41890526377,0,0,0
CDO0000661,Nereus Dresdner,2602,USD,394013676,-1527154.12804057,-1572360.44682079,45206.3187802217,2149.98333575513,43056.3354444666,-71228.2056533936,1952.30070781208,85504.1486797913,308.697663808684,0,0,0
CDX0000726,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,2623,USD,33740000,77020.2132219452,77021.7511129504,8394.83925328343,-44.7234672006489,8439.56272048408,0,104.881880121259,7282.79760715502,2.58882098811009,0,0,0
CDO0000647,Athilon 5,2643,USD,-400000000,2988475.90095431,3049814.33280582,-61338.4318515053,-1022.4844070308,-60315.9474444745,80097.7610847466,-2201.05765079198,-84174.6239686523,-600.097693311609,0,0,0
CDO0000659,Nereus 2 BNP,2743,USD,2200000000,-10221976.0523461,-10475223.153625,253247.101278927,12944.3949671797,240302.706311747,-397591.922545237,10894.5199659315,477295.026920371,1956.85324210189,0,0,0
CDO0000649,Athilon 6,3254,USD,-800000000,12353738.1427477,12675424.4886858,-321686.345938105,-779.65097266814,-320906.694965437,50726.0869371802,-15336.5557520749,-312915.587612305,-2710.28967453353,0,0,0
CDO0000654,CDX6 7-10 7y ECD3449,3449,USD,10000000.012,-1340424.22698885,-1389147.65916213,48723.4321732798,1075.14439554426,47648.2877777356,7095.48324153261,-45.7151395386787,40553.6845592629,237.163956427411,0,0,0
CDO0000653,CDX6 7-10 7y ECD3450,3450,USD,-10000000.012,4281917.87719228,4336016.09045986,-54098.2132675815,-8695.25732831743,-45402.9559392641,-31949.5184830128,3417.03777709214,-38301.6951000146,-1407.50102181034,0,0,0
CDO0000655,CDX6 7-10 7y ECD3453,3453,USD,10000000.012,-4266595.79200289,-4320740.60896387,54144.8169609793,8672.36899949185,45472.4479614874,31978.2459953379,-3417.32599417848,38358.8973911303,1403.37960759895,0,0,0
CDO0000657,GNT LSS 1 - CDX7 30-60,3815,CAD,-4941750000,102470496.365828,102591394.521208,-120898.155380145,-658477.335369707,537579.179989562,4102503.52293193,-184228.449316348,-525064.930073617,-45805.8758895278,0,0,0
CDO0000658,GNT LSS 1 - GS,3816,CAD,4941750000,-96562162.6169051,-96660065.5084218,97902.8915167004,635181.890196105,-537278.998679405,-4104478.19023852,184319.849837318,525411.599294756,43929.6937473506,0,0,0
CDO0000651,Athilon 7,3930,USD,-799999999.998,31910726.4927947,32639132.329285,-728405.836490281,-20235.0685409789,-708170.767949302,-54245.2304479289,-7881.2113597417,-648585.201897992,-7277.37263700701,0,0,0
CDO0000671,CDX7 0-3 10y Zero ECD4272,4272,USD,-156000.004144001,-21673.2101508761,-14968.7998897746,-6704.4102611015,249.856635420072,-6954.26689652157,632.308062661539,446.756516797127,-6569.06600785429,4.40476527326973,0,0,0
CDO0000672,CDX7 0-3 10y Zero ECD4273,4273,USD,-208000.005712001,-28897.6135604353,-19958.3998709442,-8939.21368949109,333.142173307629,-9272.35586279872,843.07741763866,595.675363844423,-8758.75468502841,5.8730203696352,0,0,0
CDO0000673,CDX7 0-3 10y Zero ECD4280,4280,USD,-84000.0014990773,-11670.1899795009,-8060.12294730319,-3610.06703219769,134.538193973867,-3744.60522617156,340.473569234136,240.56119241067,-3537.18935800681,2.3717966649303,0,0,0
CDX0000727,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,8111,USD,-33740000,-77020.2132219452,-77021.7511129504,-8394.83925328343,44.7234672006489,-8439.56272048408,0,-104.881880121259,-7282.79760715502,-2.58882098811009,0,0,0
CDO0000656,CDX6 7-10 7y ECD8112,8112,USD,-10000000.012,1343984.05824257,1392700.24516268,-48716.186920116,-1077.29273421849,-47638.8941858975,-7094.85138303809,46.0452439836944,-40545.6950101411,-237.684664641065,0,0,0
CDO0000652,Athilon 7 offset,8117,USD,799999999.998,-30806449.8068448,-31534281.1718915,727831.365046714,19350.7635730144,708480.601473699,54281.0226953533,7889.93151781324,648829.379573821,7085.07166650072,0,0,0
CDO0000674,CDX7 0-3 10y Zero ECD8268,8268,USD,448000.011355079,62241.0136908122,42987.322708022,19253.6909827903,-717.537018880306,19971.2280016706,-1815.85904953433,-1282.99305687845,18865.0100508943,-12.6495823078323,0,0,0
CDO0000662,Nereus Mav1,8269,USD,-1239557306.4,5488214.70650147,5627024.67046789,-138809.963966425,-7255.07133057716,-131554.892635847,223747.947120344,-6132.34390186375,-266277.412036153,-1065.25218947548,0,0,0
CDO0000660,Nereus 2 Mav1,8271,USD,-1358576368.8,6688076.82265866,6840547.34248554,-152470.519826878,-8324.79398673197,-144145.725840146,245185.935889993,-6718.67320920508,-291796.623967132,-1260.12028058199,0,0,0
