TradeId,ProductDescription,TradeTag_ECD Id,Currency,Today_CurrentNotional,Today_MTM,LastBusinessDate_MTM,LTDPLChange,ResidualPL,EstimatedPL,CorrEffect,Today_Total_CSGammaEffect,Total_CSDeltaEffect,Today_Total_IRDelta,LastBusinessDate_CashflowEffect,Today_CashflowEffect,CashflowEffect,Today_1%bumping_BaseCorrSurface,LastBusinessDate_1%bumping_BaseCorrSurface,Today_RiskReserve,LastBusinessDate_RiskReserve,Today_Total_CSDeltaEffect 1,LastBusinessDate_Total_CSDeltaEffect 2
CDO0000639,ACA 3,1823,USD,,,,113581.076527778,113581.076527778,,,,,,,,,,,,,,
CDO0000640,ACA 3 BA,1882,USD,,,,-137464.804722223,-137464.804722223,,,,,,,,,,,,,,
CDO0000646,Athilon 4,2591,USD,-800000000.064,8025984.21872393,7881958.54285041,144025.67587352,8756.68366938876,135268.992204131,52754.0937184913,-4933.72263258439,206535.931687535,-1536.29235799396,0,0,0,327443.293073416,321417.498932554,-2559726.14262868,-2520877.07502919,206535.931687535,-315989.82519488
CDO0000661,Nereus Dresdner,2602,USD,394013676,-1522096.23684406,-1527154.12804057,5057.89119651238,106.806960280872,4951.08423623151,-38049.2156145216,2648.34583127505,-16427.7567971391,307.659399025561,0,0,0,-86026.3317970021,-85032.4305899191,640708.411129055,640419.594316719,-16427.7567971391,85504.1486797913
CDX0000726,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,2623,USD,33740000,77024.8691890445,77020.2132219452,4236.72273041507,-25.8590060575007,4262.58173647257,0,13.2138181288608,3248.73727581667,2.46278178342327,0,0,0,,,-317.177261197823,-336.936298154891,3248.73727581667,7282.79760715502
CDO0000647,Athilon 5,2643,USD,-400000000,3020575.52575232,2988475.90095431,32099.6247980036,3539.90377288243,28559.7210251212,17098.0525339988,-126.338349962327,61281.3805550402,-607.136330917804,0,0,0,149354.693859569,146660.740466602,-1089676.59234602,-1080349.13172924,61281.3805550402,-84174.6239686523
CDO0000659,Nereus 2 BNP,2743,USD,2200000000,-10194462.6923809,-10221976.0523461,27513.3599651437,-76.7396693267801,27590.0996344705,-212388.934782998,14777.6646915462,-91691.8308072197,1950.71113193613,0,0,0,-480204.292238872,-474656.135641439,3576562.05220539,3574950.68728241,-91691.8308072197,477295.026920371
CDO0000649,Athilon 6,3254,USD,-800000000,12227951.231375,12353738.1427477,-125786.91137277,15114.1014606332,-140901.012833403,37487.5978368248,-3278.70630046053,-107114.702183029,-2688.74579636455,0,0,0,376603.58144686,379972.448459431,-3566935.33802759,-3593317.85112071,-107114.702183029,-312915.587612305
CDO0000654,CDX6 7-10 7y ECD3449,3449,USD,10000000.012,-1307497.39470731,-1340424.22698885,32926.8322815413,-768.345394354561,33695.1776758959,8184.76706733113,-404.151768293202,28351.0749230439,230.908550560055,0,0,0,412.160885594756,398.756104831788,251873.464549865,258146.508372917,28351.0749230439,40553.6845592629
CDO0000653,CDX6 7-10 7y ECD3450,3450,USD,-10000000.012,4222416.6644949,4281917.87719228,-59501.2126973821,1696.79024385977,-61198.0029412419,-20904.9211940212,1278.25977551872,-47674.935587061,-1387.68561489368,0,0,0,-43513.5628987653,-43716.1683491785,-638393.252718997,-642521.967881568,-47674.935587061,-38301.6951000146
CDO0000655,CDX6 7-10 7y ECD3453,3453,USD,10000000.012,-4207023.35587702,-4266595.79200289,59572.4361258671,-1686.48149722148,61258.9176230886,20923.5354789688,-1278.42984004161,47719.6963819366,1383.53790915506,0,0,0,43527.6894910074,43730.3301963964,638950.033255199,643086.607978499,47719.6963819366,38358.8973911303
CDO0000657,GNT LSS 1 - CDX7 30-60,3815,CAD,-4941750000,103462006.300423,102470496.365828,991509.934594721,96541.1385605931,894968.796034127,2977484.38683935,-58903.3729325432,-671923.646418009,-46047.4307176054,0,0,0,4067975.42326118,4071106.03065133,-25996162.6459277,-25867036.404868,-671923.646418009,-525064.930073617
CDO0000658,GNT LSS 1 - GS,3816,CAD,4941750000,-97549825.2194753,-96562162.6169051,-987662.602570221,-92503.8188631578,-895158.783707063,-2978919.5788009,58971.0722609458,671967.464273311,44171.1649707586,0,0,0,-4069958.21891869,-4073065.666784,26006803.1654835,25877553.2847391,671967.464273311,525411.599294756
CDO0000651,Athilon 7,3930,USD,-799999999.998,31285944.2157627,31910726.4927947,-624782.27703201,31615.0133467661,-656397.290378776,-42476.5290225802,-9394.37964894246,-516881.920522141,-7124.51138756536,0,0,0,857270.581223581,864522.491742908,-8086655.75663871,-8213734.17321067,-516881.920522141,-648585.201897992
CDO0000671,CDX7 0-3 10y Zero ECD4272,4272,USD,-156000.004144001,-23946.8970401694,-21673.2101508761,-2273.68688929325,550.798483534346,-2824.4853728276,452.121992393901,164.849168037512,-2216.04441530636,4.68735359882703,0,0,0,-3260.04910385151,-3237.35447043791,-21896.0042369994,-21784.7749198784,-2216.04441530636,-6569.06600785429
CDO0000672,CDX7 0-3 10y Zero ECD4273,4273,USD,-208000.005712001,-31929.1960822136,-28897.6135604353,-3031.5825217783,734.397977196317,-3765.98049897462,602.829323732872,219.79889242449,-2954.72588972883,6.24980480404047,0,0,0,-4346.73214236958,-4316.47263112425,-29194.6723421996,-29046.3665859051,-2954.72588972883,-8758.75468502841
CDO0000673,CDX7 0-3 10y Zero ECD4280,4280,USD,-84000.0014990773,-12894.4829092162,-11670.1899795009,-1224.29292971536,296.583794948179,-1520.87672466354,243.45030147433,88.764937153758,-1193.25467476189,2.52395960813301,0,0,0,-1755.41104061637,-1743.19085350027,-11790.1560248291,-11730.2633161322,-1193.25467476189,-3537.18935800681
CDX0000727,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,8111,USD,-33740000,-77024.8691890445,-77020.2132219452,-4236.72273041507,25.8590060575007,-4262.58173647257,0,-13.2138181288608,-3248.73727581667,-2.46278178342327,0,0,0,,,317.177261197823,336.936298154891,-3248.73727581667,-7282.79760715502
CDO0000656,CDX6 7-10 7y ECD8112,8112,USD,-10000000.012,1311063.10030936,1343984.05824257,-32920.9579332017,769.802593292756,-33690.7605264944,-8183.9857772852,404.217828811494,-28347.685421118,-231.429560291232,0,0,0,-413.453697949386,-400.099094327976,-251838.066563295,-258110.230109515,-28347.685421118,-40545.6950101411
CDO0000652,Athilon 7 offset,8117,USD,799999999.998,-30180754.5798216,-30806449.8068448,625695.227023244,-31083.5967648041,656778.823788048,42489.761085812,9410.05813838875,517138.025040226,6932.29443804882,0,0,0,-857760.516861573,-865019.13815543,8089977.90480795,8217128.95637589,517138.025040226,648829.379573821
CDO0000674,CDX7 0-3 10y Zero ECD8268,8268,USD,448000.011355079,68770.5760315992,62241.0136908122,6529.56234078697,-1581.78026145447,8111.34260224144,-1298.40161760109,-473.412991863962,6364.02497982096,-13.461118011002,0,0,0,9362.19228683737,9297.01795506261,62880.8326040281,62561.4048219157,6364.02497982096,18865.0100508943
CDO0000662,Nereus Mav1,8269,USD,-1239557306.4,5469563.26302502,5488214.70650147,-18651.4434764413,8.05979082761769,-18659.5032672689,121159.42457208,-8314.6021102968,48259.1598545031,-1061.23935496639,0,0,0,274768.090574574,270404.262070212,-2011303.35361909,-2011222.97498781,48259.1598545031,-266277.412036153
CDO0000660,Nereus 2 Mav1,8271,USD,-1358576368.8,6667923.80573522,6688076.82265866,-20153.0169234397,276.060911382461,-20429.0778348222,132768.184129135,-9109.13342692677,52879.9616752641,-1255.58530235542,0,0,0,301097.87918971,296316.424699813,-2204077.35326948,-2203989.49040097,52879.9616752641,-291796.623967132
