ProductDescription,TradeId,Strategy,SubStrategy,LTDPLChange,EstimatedPL,PercentResidualPL,ResidualPL,Total_CSDeltaEffect,Total_CSGammaEffect,Total_IREffect,CorrEffect,RecoveryEffect,DefaultEffect,ThetaEffect,CashflowEffect,NewBusinessEffect,TerminatedEffect,UnexplainedPL
Athilon 4,CDO0000646,POC_20090820,,-39389.9777065227,-55045.4473771703,-39.7448045979857,15655.4696706476,-47473.7680313181,-433.791671305806,,21246.3264388503,0,,-28384.2141133966,0,,,
Athilon 5,CDO0000647,POC_20090820,,-2585.62172511965,-7853.38860094206,-203.733083793556,5267.76687582241,8703.64612255341,741.221495881596,,-5068.97804467777,0,,-12229.2781746993,0,,,
Athilon 6,CDO0000649,POC_20090820,,35704.734331483,19559.0834652204,45.2199159819151,16145.6508662626,57865.7493123066,1677.25876805018,,-9423.42730536969,0,,-30560.4973097667,0,,,
Athilon 7,CDO0000651,POC_20090820,,-139673.085233636,-183990.185885306,-31.7291628358741,44317.1006516696,-136261.576607586,579.310587825849,,21949.1362136296,0,,-70257.0560791753,0,,,
Athilon 7 offset,CDO0000652,POC_20090820,,140378.253379967,184049.578449819,-31.1097509894537,-43671.3250698521,136253.24986411,-573.961362814119,,-21963.7989448863,0,,70334.0888934098,0,,,
CDX6 7-10 7y ECD3450,CDO0000653,POC_20090820,,-57777.8776962878,-63497.2176692195,-9.89884052681144,5719.33997293169,-49973.2577640741,3275.43328522857,,-14577.3221215748,0,,-2222.07106879912,0,,,
CDX6 7-10 7y ECD3449,CDO0000654,POC_20090820,,14207.12488516,15504.6781593869,-9.13311655043024,-1297.55327422684,12064.9835282176,-616.64315442338,,1751.31981279031,0,,2305.01797280228,0,,,
CDX6 7-10 7y ECD3453,CDO0000655,POC_20090820,,57848.3270832072,63550.7062417011,-9.85746597354798,-5702.37915849389,50010.0752891836,-3276.71156996561,,14590.1592440976,0,,2227.18327838555,0,,,
CDX6 7-10 7y ECD8112,CDO0000656,POC_20090820,,-14203.3357845987,-15502.5043844575,-9.14692590220645,1299.16859985882,-12063.6148030494,616.648935211768,,-1751.12780759503,0,,-2304.41070902487,0,,,
GNT LSS 1 - CDX7 30-60,CDO0000657,POC_20090820,,400507.862829767,401697.8304522,-0.28907829525531,-1189.96762243381,-1308297.17388345,-96075.2498389821,,1891483.84012809,0,,-85413.5859534536,0,,,
GNT LSS 1 - GS,CDO0000658,POC_20090820,,-396789.070168754,-401620.995369882,-1.18481866899397,4831.92520112786,1308687.6848326,96181.4287743503,,-1892391.8725002,0,,85901.763523369,0,,,
Nereus 2 BNP,CDO0000659,POC_20090820,,26880.0872630551,33887.0668903242,-26.0675479164075,-7006.97962726906,7042.8505930987,8251.66056041714,,-16736.5582616289,0,,35329.1139984373,0,,,
Nereus 2 Mav1,CDO0000660,POC_20090820,,-18378.6834823806,-22707.431445848,-23.5530905552473,4328.74796346737,-7126.07522366807,-5134.7708220678,,11344.0121169508,0,,-21790.5975170629,0,,,
Nereus Dresdner,CDO0000661,POC_20090820,,4957.65076363739,6078.39056982464,-22.606267759066,-1120.73980618725,1260.7386518875,1478.14961216454,,-2998.3244035668,0,,6337.8267093394,0,,,
Nereus Mav1,CDO0000662,POC_20090820,,-17058.9750090204,-20737.1121595122,-21.5613021799193,3678.13715049181,-6500.82495085201,-4685.57684917118,,10352.1082425886,0,,-19902.8186020777,0,,,
CDX7 0-3 10y Zero ECD4272,CDO0000671,POC_20090820,,-1025.90316474807,-1620.44264920435,-57.9527878347346,594.539484456279,-1087.29357116304,205.143480331919,,287.48331127832,0,,-1025.77586965155,0,,,
CDX7 0-3 10y Zero ECD4273,CDO0000672,POC_20090820,,-1367.87088755833,-2160.59020038798,-57.9527877989035,792.719312829654,-1449.7247628462,273.52464117258,,383.311082048422,0,,-1367.70116076278,0,,,
CDX7 0-3 10y Zero ECD4280,CDO0000673,POC_20090820,,-552.409391586945,-872.546036008164,-57.9527881489378,320.136644421219,-585.465763983895,110.461871326334,,154.798704723415,0,,-552.340848074018,0,,,
CDX7 0-3 10y Zero ECD8268,CDO0000674,POC_20090820,,2946.18344389333,4653.57888100518,-57.9527877210373,-1707.39543711185,3122.48409799752,-589.129997430579,,-825.593098050155,0,,2945.81787848839,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000726,POC_20090820,,1411.44211138035,1421.61084099554,-0.720449640349929,-10.1687296151872,453.07100224768,6.00857251680831,,0,0,,962.531266231053,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000727,POC_20090820,,-1411.44211138035,-1421.61084099554,-0.720449640349929,10.1687296151872,-453.07100224768,-6.00857251680831,,0,0,,-962.531266231053,0,,,
ACA 3,CDO0000639,POC_20090820,,113581.076527778,,,113581.076527778,,,,,,,,,,,
ACA 3 BA,CDO0000640,POC_20090820,,-137464.804722223,,,-137464.804722223,,,,,,,,,,,
