Quantifi Trade Id,TradeTag_ECD Id,ProductDescription,Size,CurrentNotional,ReferenceEntityName,Today_Pv,Yesterday_Pv,Today_TR_MAT_DELTA,Today_TR_MAT_HDGE_DELTA,Today_TR_MAT_HDGE_NOTNL,Yesterday_TR_MAT_DELTA,Yesterday_TR_MAT_HDGE_DELTA,Yesterday_TR_MAT_HDGE_NOTNL,Today_JTD,Yesterday_JTD,Today_Total_SpreadDelta,Yesterday_Total_SpreadDelta,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y
CDS0001022,1584,MBIA CDS,24500000,24500000,MBIA INS CORP,-4757681.02631774,-4760175.58101937,-1605.3685335815,-239.59936022108,6700220.45175834,-1605.25895321928,-239.716939293928,6696476.92794457,-2592212.95651857,-2589718.40181693,-1605.36865852773,-1605.25907825818,19200,19200
CDS0001023,1584,MBIA CDS,-24500000,-24500000,MBIA INS CORP,4757681.02631774,4760175.58101937,1605.3685335815,-239.59936022108,-6700220.45175834,1605.25895321928,-239.716939293928,-6696476.92794457,2592212.95651857,2589718.40181693,1605.36865852773,1605.25907825818,19200,19200
CDO0000646,2591,Athilon 4,-1600000000.128,-1600000000.128,*,5603796.30809851,5911594.87896212,159662.272832513,-30100.3723316238,-636834401.487254,161934.684004992,-30116.830692741,-645458621.636724,61816872.6127427,63879813.565816,159663.666034818,161935.53893967,265979.84,268820.16
CDO0000649,3254,Athilon 6,-1600000000,-1600000000,*,12443986.9786666,13068812.4835122,264178.504317433,-32194.7163961861,-884498271.794795,268959.319080099,-32205.5748286277,-900109773.047094,118791476.500352,122760671.053683,264178.113233075,268959.602812827,173088.56,175336.32
CDO0000651,3930,Athilon 7,-1599999999.996,-1599999999.996,*,33289831.512509,34262742.6625207,409404.844818085,-33223.5575538299,-1288743157.54855,413853.53511408,-33230.3649211953,-1302357521.73157,245945399.792201,251747349.915846,409406.908321023,413855.485525072,217279.28,219457.28
CDO0000652,8117,Athilon 7 offset,1599999999.996,1599999999.996,*,-32179893.9626079,-33153009.166529,-409592.074837714,-33223.5575538299,1289331933.33705,-414043.208350211,-33230.3649211953,1302953772.63206,-246051463.145112,-251856219.799229,-409594.14134717,-414045.153352648,217279.28,219457.28
CDO0000653,3450,CDX6 7-10 7y ECD3450,-20000000.024,-20000000.024,*,4342798.71778055,4466202.80262353,25248.8749474389,-63676.0023551098,-48322358.2516048,24916.6637532469,-63654.712762206,-47720444.1900563,41633364.4059217,41523626.4912882,25249.0373457139,24916.871995776,214086.1,218292.400000001
CDO0000654,3449,CDX6 7-10 7y ECD3449,20000000.024,20000000.024,*,-1324273.72092518,-1378127.12869899,-16543.4497290743,-32937.6924115992,60638739.1904192,-16635.03955888,-32956.5779517016,60943455.0156884,-24445146.6001057,-25063778.2467635,-16543.6226767013,-16635.1573739285,149860.27,152804.68
CDO0000655,3453,CDX6 7-10 7y ECD3453,20000000.024,20000000.024,*,-4327388.79600296,-4450900.25014297,-25277.6754130274,-63676.0023551098,48377147.4282249,-24945.4986134395,-63654.712762206,47775327.9827839,-41676802.1835617,-41567619.5991991,-25277.8379705539,-24945.7068550074,214086.1,218292.400000001
CDO0000656,8112,CDX6 7-10 7y ECD8112,-20000000.024,-20000000.024,*,1327878.00766558,1381725.71262084,16540.8665847438,-32937.6924115992,-60629285.8472463,16632.4325500079,-32956.5779517016,-60933919.6739358,24441688.1121077,25060225.6256226,16541.0395091423,16632.5503487173,149860.27,152804.68
CDO0000657,3815,GNT LSS 1 - CDX7 30-60,-9545379282.32576,-9545379282.32576,*,107344191.714726,108264263.03757,2045427.91537547,-68574.503980094,-3490621820.16369,2024968.42805696,-68548.0202864355,-3455260728.0374,232633478.567926,237643248.94393,2044560.47999489,2026553.78212857,198312.8,202438.5
CDO0000658,3816,GNT LSS 1 - GS,9545379282.32576,9545379282.32576,*,-101353558.531521,-102272855.401912,-2046373.60241497,-68574.503980094,3492235127.01979,-2025900.15193343,-68548.0202864355,3456849916.72186,-232733443.102145,-237745148.694017,-2045505.97400796,-2027485.2587986,198312.8,202438.5
CDO0000659,2743,Nereus 2 BNP,4400000000,4400000000,*,-5442078.17157499,-5694268.04175751,-241658.243177205,-38739.8328255818,959546799.404244,-243036.484121531,-38757.9125026195,964319153.867905,-53949177.2149922,-55497709.0748717,-241658.732362166,-243035.554776013,303750.51,307736.239999999
