Quantifi Trade Id,TradeTag_ECD Id,ProductDescription,Today_Size,Today_CurrentNotional,ReferenceEntityName,Today_Pv,Yesterday_Pv,Today_TR_MAT_DELTA,Today_TR_MAT_HDGE_DELTA,Today_TR_MAT_HDGE_NOTNL,Yesterday_TR_MAT_DELTA,Yesterday_TR_MAT_HDGE_DELTA,Yesterday_TR_MAT_HDGE_NOTNL,Today_JTD,Yesterday_JTD,Today_Total_SpreadDelta,Yesterday_Total_SpreadDelta,Today_CDS Spread Quote 5Y,Yesterday_CDS Spread Quote 5Y
CDO0000646,2591,Athilon 4,-800000000.064,-800000000.064,*,6569087.80651692,7116602.42363214,131730.666071435,-29823.7641012308,-533740904.694175,139057.414163912,-29878.700074063,-562046755.272943,123164645.558952,131238109.82467,131734.648965198,139060.86880073,259955.43,260418.76
CDO0000649,3254,Athilon 6,-800000000,-800000000,*,13306385.9218592,14001591.7858535,213384.806517162,-31966.5668860064,-724606956.254864,220970.847223501,-32008.0705851847,-749000604.517555,217738204.340933,225704552.239211,213387.885175913,220970.736889075,148340.78,169499.92
CDO0000651,3930,Athilon 7,-799999999.998,-799999999.998,*,36954735.7943061,39121818.2576366,340583.469826645,-33086.0155762037,-1086055289.83651,348754.267381936,-33098.1056586408,-1111375843.46011,393062211.788362,408718847.123238,340582.481164705,348756.838744217,210526.88,211220
CDO0000652,8117,Athilon 7 offset,799999999.998,799999999.998,*,-35927196.1664025,-38014682.5842094,-340754.208987332,-33086.0155762037,1086599329.38789,-348930.92379988,-33098.1056586408,1111938303.59852,-393255399.929388,-408923307.717375,-340753.221318019,-348933.496207663,210526.88,211220
CDO0000653,3450,CDX6 7-10 7y ECD3450,-10000000.012,-10000000.012,*,3129813.63466018,3126442.65415797,20035.4795548627,-63787.781181313,-38173615.3804081,20018.3843520491,-63755.1557727091,-38167518.7203957,32691934.3339517,32635042.8708837,20035.6096173899,20018.5207401483,208231.2,208483.8
CDO0000654,3449,CDX6 7-10 7y ECD3449,10000000.012,10000000.012,*,-922175.468776506,-972484.425753919,-11655.084053874,-32701.8601129245,43089183.659207,-11868.6993147673,-32759.3821820366,43803775.4512139,-22994490.084376,-23833565.0562507,-11655.2815520928,-11868.7998728731,145761.84,145938.66
CDO0000655,3453,CDX6 7-10 7y ECD3453,10000000.012,10000000.012,*,-3114234.03711571,-3110143.51402644,-20057.261760776,-63787.781181313,38215005.1771574,-20040.1456325399,-63755.1557727091,38208903.9790724,-32729756.2188407,-32673546.4738402,-20057.3919660435,-20040.2821461243,208231.2,208483.8
CDO0000656,8112,CDX6 7-10 7y ECD8112,-10000000.012,-10000000.012,*,925513.132868022,976128.321848345,11653.2434048219,-32701.8601129245,-43082387.6679036,11866.8190429275,-32759.3821820366,-43796845.0050448,22990999.7599353,23829883.8076459,11653.4408799894,11866.919580823,145761.84,145938.66
CDO0000657,3815,GNT LSS 1 - CDX7 30-60,-4779024225.13418,-4779024225.13418,*,35122799.3813499,36966682.0346113,-14744.775777639,-68744.2964942965,-62464278.7677999,47447.0077535553,-68709.7430238427,-168400422.466722,532429246.912866,534331274.892621,-14893.2224854286,47367.5248082722,191976.7,192318.5
CDO0000658,3816,GNT LSS 1 - GS,4779024225.13418,4779024225.13418,*,-29212610.7628731,-30804788.8983032,15128.6522782232,-68744.2964942965,61859870.9928946,-47123.128278961,-68709.7430238427,167898079.595206,-532670761.182982,-534579854.36694,15277.2446447717,-47043.5696049536,191976.7,192318.5
CDO0000659,2743,Nereus 2 BNP,2200000000,2200000000,*,-6577713.47670608,-7057927.85889221,-189755.643237039,-38347.7970126387,766589599.589294,-202131.023047441,-38438.9678110936,814142287.82641,-130463250.15928,-137054031.449769,-189768.920385053,-202142.455275894,297591.56,298079.6
CDO0000660,8271,Nereus 2 Mav1,-1358576368.8,-1358576368.8,*,4522226.95669983,4856713.68268185,117983.213483385,-38346.7767411832,-476640382.471001,125529.948958406,-38437.8846347139,-505618617.286833,81070132.1974422,85151503.8152994,117991.336124141,125536.94121345,298140.29,298648
CDO0000661,2602,Nereus Dresdner,394033675.68,394033675.68,*,-900398.411831076,-958579.206504103,-33993.6256176228,-38347.7970126387,137330141.768213,-36210.8734866967,-38438.9678110936,145850008.476715,-23372420.0790593,-24553163.5696154,-33996.0041456399,-36212.921586082,297591.56,298079.6
CDO0000662,8269,Nereus Mav1,-1239557306.4,-1239557306.4,*,3571842.68815923,3821986.29438734,107661.782127357,-38346.7767411832,-434942930.436701,114548.842635801,-38437.8846347139,-461388199.95033,73979266.1170394,77703676.0053388,107669.194181131,114555.223352267,298140.29,298648
CDO0000671,4272,CDX7 0-3 10y Zero ECD4272,-557142.8622,-351386.2937055,*,-33786.0340783085,-33470.038772658,238.410574590247,-68744.2964942965,-431753.91569502,238.52755733688,-68709.7430238427,-432149.990824838,722467.743740492,716603.573629717,238.412021479449,238.528839028922,191976.7,192318.5
CDO0000672,4273,CDX7 0-3 10y Zero ECD4273,-742857.15,-468515.058526278,*,-45048.0454620013,-44626.7183875738,317.880766291496,-68744.2964942965,-575671.887903337,318.03674328709,-68709.7430238427,-576199.988076712,963290.325506018,955471.432020773,317.882695477099,318.038452209814,191976.7,192318.5
CDO0000673,4280,CDX7 0-3 10y Zero ECD4280,-300000,-189208.002585535,*,-18192.4797231882,-18022.3284063055,128.374923614115,-68744.2964942965,-232482.875571705,128.437914323268,-68709.7430238427,-232696.146793517,389021.089252227,385863.45922124,128.375702708293,128.438604465131,191976.7,192318.5
CDO0000674,8268,CDX7 0-3 10y Zero ECD8268,1600000.012,1009109.35469118,*,97026.5592513697,96119.0855545225,-684.666264410275,-68744.2964942965,1239908.67901507,-685.002214861613,-68709.7430238427,1241046.12553994,-2074779.15823939,-2057938.46461449,-684.670419579256,-685.005895618242,191976.7,192318.5
CDS0001022,1584,MBIA CDS,12250000,12250000,MBIA INS CORP,-4812131.7071472,-4749925.72896378,-1576.42227637381,-237.508995465829,6637316.08683685,-1605.13324555827,-239.243206088181,6709211.39957738,-2537762.27568911,-2599968.25387253,-1576.42210529748,-1605.13336135053,19200,19200
CDS0001023,1584,MBIA CDS,-12250000,-12250000,MBIA INS CORP,4812131.7071472,4749925.72896378,1576.42227637381,-237.508995465829,-6637316.08683685,1605.13324555827,-239.243206088181,-6709211.39957738,2537762.27568911,2599968.25387253,1576.42210529748,1605.13336135053,19200,19200
CDX0000726,2623,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,35000000,33740000,*,-45635.7728714442,-10189.6436189507,-849.532060772582,-3075.25186914559,33702032.7778054,-877.395672403178,-3176.27871797776,33700187.5730807,-20198072.2255691,-20233518.3548216,-849.532060772582,-877.395672403178,112299.1,112483.35
CDX0000727,8111,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,-35000000,-33740000,*,45635.7728714442,10189.6436189507,849.532060772582,-3075.25186914559,-33702032.7778054,877.395672403178,-3176.27871797776,-33700187.5730807,20198072.2255691,20233518.3548216,849.532060772582,877.395672403178,112299.1,112483.35
