COB Date,Aggregation Level,Portfolio Name,AttPointCorrelation,Index Maturity Date,DetPointCorrelation,CorrParallelShiftUp1pct,CorrParallelShiftDn1pct,CorrSkewShiftUp1pct,CorrSkewShiftDn1pct,RptCurrency
09/22/2010,2.5.1.9.2.3.1.1,L_USD_2591_ATHILON4,0.47,03/20/2013,0.63,268898.797282557,-277006.471052209,-695166.685246237,677415.381841361,USD
09/22/2010,2.5.1.9.2.3.1.1,L_USD_3254_ATHILON 6,0.45,09/20/2013,0.62,347835.889251076,-360833.740084223,-932220.15319905,913729.942190009,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_3930_ATHILON_7,0.4,12/20/2013,0.54,628372.891193711,-653464.720173339,-1327354.69365907,1305793.09799741,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_8117_ATHILON_7_offset,0.4,12/20/2013,0.54,-628776.164188666,653876.583134745,1328004.24416664,-1306425.76322503,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_3450_CDX6_7-10_10y_ECD3450.,0.31,06/20/2016,0.34,-34698.6075204448,35234.2093939068,-151331.889049001,153036.752087458,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_3449_CDX6_7-10_7y_ECD3449.,0.36,06/20/2013,0.4,-2042.32127974009,2568.6010668138,68797.5269926612,-68953.9323845504,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_3453_CDX6_7-10_7y_ECD3453,0.31,06/20/2016,0.34,34707.505679742,-35242.6867621036,151464.121029147,-153169.748580789,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_8112_CDX6_7-10_7y_ECD8112.,0.36,06/20/2013,0.4,2041.02097097201,-2567.21204510586,-68787.8871674876,68944.3622342209,USD
09/22/2010,2.5.1.9.2.3.1.2,L_CAD_3815_GNT_LSS_1_-_CDX7_30-60.,0.54,12/20/2016,0.56,4407105.55852806,-4414263.45056003,-1532192.97790702,1457041.11551035,USD
09/22/2010,2.5.1.9.2.3.1.2,L_CAD_3816_GNT_LSS_1_-_GS.,0.54,12/20/2016,0.56,-4409308.60308147,4416446.087015,1532779.3400988,-1457592.27312948,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_2743_NEREUS2_BNP,0.5,03/20/2013,0.78,-352299.801275137,363945.120249713,700158.561489027,-671304.837416169,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_8271_Nereus_2_MAV1,0.5,03/20/2013,0.77,249878.943252533,-257926.00448526,-486015.112625975,465986.209330237,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_2602_NEREUS1_DRES,0.5,03/20/2013,0.78,-63114.4441067118,65200.5231117395,125438.562437112,-120268.929986415,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_8269_NEREUS_MAV1,0.5,03/20/2013,0.77,233326.002978935,-240839.590478043,-453831.42456915,435128.164863247,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_4272_CDX7_0-3_10y_ZERO_ECD4272.,0.26,12/20/2016,0.26,-1826.72153278189,1805.48621739827,2896.37040899908,-2862.70061423336,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_4273_CDX7_0-3_10y_ZERO_ECD4273.,0.26,12/20/2016,0.26,-2435.62871168734,2407.31495782727,3861.82721407823,-3816.93415436642,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_4280_CDX7_0-3_10y_ZERO_ECD4280.,0.26,12/20/2016,0.26,-983.619277954318,972.184877466927,1559.58405222789,-1541.45416290323,USD
09/22/2010,2.5.1.9.2.3.1.2,L_USD_8268_CDX7_0-3_10y_ZERO_ECD8268.,0.26,12/20/2016,0.26,5245.9695217678,-5184.98605204434,-8317.78167426547,8221.08893047537,USD
