Ccy Code, Business Date, Bid, Mid, Ask
ADP,24/09/2010,137.384200000,137.384200000,137.384200000
AED,24/09/2010,3.672800000,3.673000000,3.673200000
AFA,24/09/2010,42.785000000,42.785000000,42.785000000
ALL,24/09/2010,106.400000000,106.650000000,106.900000000
ANG,24/09/2010,1.790000000,1.790000000,1.790000000
AON,24/09/2010,80.835700000,80.956950000,81.078200000
ARS,24/09/2010,2.850000000,2.851250000,2.852500000
ATS,24/09/2010,11.361820000,11.361820000,11.361820000
AUD,24/09/2010,1.0560777273207308057873059457,1.0559662090813093980992608237,1.05585471439129975715341569
AWG,24/09/2010,1.790000000,1.790000000,1.790000000
BBD,24/09/2010,2.000000000,2.000000000,2.000000000
BDT,24/09/2010,58.920000000,58.945000000,58.970000000
BEF,24/09/2010,33.308480000,33.308480000,33.308480000
BGL,24/09/2010,1.601300000,1.601700000,1.602100000
BHD,24/09/2010,0.376440000,0.377065000,0.377690000
BIF,24/09/2010,1020.000000000,1060.000000000,1100.000000000
BMD,24/09/2010,1.000000000,1.000000000,1.000000000
BND,24/09/2010,1.676300000,1.676800000,1.677300000
BOB,24/09/2010,7.892000000,7.901000000,7.910000000
BRL,24/09/2010,1.722700000,1.722950000,1.723200000
BSD,24/09/2010,1.000000000,1.000000000,1.000000000
BTN,24/09/2010,43.730000000,43.735000000,43.740000000
BWP,24/09/2010,4.6794571829667758540009358914,4.6728971962616822429906542056,4.6663555762949136724218385441
BZD,24/09/2010,1.980000000,1.980000000,1.980000000
CAD,24/09/2010,1.035000000,1.035100000,1.035200000
CHF,24/09/2010,0.986700000,0.986850000,0.987000000
CLP,24/09/2010,488.500000000,488.750000000,489.000000000
CNY,24/09/2010,6.689000000,6.689000000,6.689000000
COP,24/09/2010,2665.100000000,2666.100000000,2667.100000000
CRC,24/09/2010,428.260000000,428.460000000,428.660000000
CUP,24/09/2010,1.000000000,1.000000000,1.000000000
CVE,24/09/2010,108.950000000,108.950000000,108.950000000
CZK,24/09/2010,18.459500000,18.481700000,18.503900000
DEM,24/09/2010,1.470328000,1.470383000,1.470438000
DJF,24/09/2010,175.000000000,175.000000000,175.000000000
DKK,24/09/2010,5.602700000,5.603350000,5.604000000
DOP,24/09/2010,43.100000000,43.100000000,43.100000000
DZD,24/09/2010,68.920200000,68.920200000,68.920200000
ECS,24/09/2010,25000.000000000,25000.000000000,25000.000000000
EEK,24/09/2010,12.872300000,12.875150000,12.878000000
EGP,24/09/2010,6.180000000,6.189950000,6.199900000
ESP,24/09/2010,137.384200000,137.384200000,137.384200000
ETB,24/09/2010,8.350000000,8.550000000,8.750000000
EUR,24/09/2010,0.7521058965102286401925391095,0.7520776144098070920919038845,0.7520493344363390238399639016
FIM,24/09/2010,4.909364000,4.909364000,4.909364000
FJD,24/09/2010,1.6969285593076531478024775157,1.6897600540723217303142953701,1.6826518593303045599865387851
FKP,24/09/2010,1.829800000,1.829900000,1.830000000
FRF,24/09/2010,4.929700000,4.931800000,4.933900000
GBP,24/09/2010,0.638365783593999361634216406,0.6383046628155618676794433983,0.638243553740107224917028338
GHC,24/09/2010,8890.000000000,8975.000000000,9060.000000000
GIP,24/09/2010,0.5465078150617553831019783583,0.5464779496147330455216132029,0.5464480874316939890710382514
GMD,24/09/2010,28.000000000,29.000000000,30.000000000
GNF,24/09/2010,2005.000000000,2012.500000000,2020.000000000
GRD,24/09/2010,281.355800000,281.355800000,281.355800000
GTQ,24/09/2010,8.080000000,8.100000000,8.120000000
GWP,24/09/2010,761.550000000,761.550000000,761.550000000
GYD,24/09/2010,179.000000000,179.000000000,179.000000000
HKD,24/09/2010,7.760000000,7.760500000,7.761000000
HNL,24/09/2010,17.980000000,17.980000000,17.980000000
HRK,24/09/2010,6.218100000,6.221950000,6.225800000
HTG,24/09/2010,29.000000000,29.000000000,29.000000000
HUF,24/09/2010,210.330000000,210.705000000,211.080000000
IDR,24/09/2010,8958.000000000,8961.000000000,8964.000000000
IEP,24/09/2010,0.6502846946393130912713586008,0.6502846946393130912713586008,0.6502846946393130912713586008
ILS,24/09/2010,3.692300000,3.698800000,3.705300000
INR,24/09/2010,45.652500000,45.657500000,45.662500000
IQD,24/09/2010,1424.500000000,1424.500000000,1424.500000000
IRR,24/09/2010,8481.000000000,8482.000000000,8483.000000000
ISK,24/09/2010,115.130000000,115.510000000,115.890000000
ITL,24/09/2010,1598.770000000,1598.770000000,1598.770000000
JMD,24/09/2010,60.370000000,60.370000000,60.370000000
JOD,24/09/2010,0.708000000,0.709000000,0.710000000
JPY,24/09/2010,84.540000000,84.545000000,84.550000000
KES,24/09/2010,77.450000000,77.450000000,77.450000000
KHR,24/09/2010,3850.000000000,3850.000000000,3850.000000000
KMF,24/09/2010,404.778500000,404.828400000,404.878400000
KPW,24/09/2010,2.200000000,2.200000000,2.200000000
KRW,24/09/2010,1155.500000000,1155.850000000,1156.200000000
KWD,24/09/2010,0.284300000,0.285775000,0.287250000
KYD,24/09/2010,0.8333333333333333333333333333,0.8247422680412371134020618557,0.8163265306122448979591836735
KZT,24/09/2010,147.452500000,147.506200000,147.560000000
LAK,24/09/2010,7842.590000000,7842.590000000,7842.590000000
LBP,24/09/2010,1514.000000000,1515.000000000,1516.000000000
LKR,24/09/2010,97.500000000,97.550000000,97.600000000
