MARKIT Ticker,Currency,Sen/Sub,Doc Clause,RED Code,IsDefaulted,Defaulted Recovery Rate,Phoenix Reference Entity ID,Name,Country,Moodys,S&P,Moodys Industries,S&P Industries,CreditIndex,Series,Version (hardcoded),Credit Index Mapping,Recovery,Quote Date,Yr 1,Yr 2,Yr 3,Yr 4,Yr 5,Yr 6,Yr 7,Yr 8,Yr 9,Yr 10
NULL,USD,Senior,NULL,008HA7,False,,10025,AGRIUM INC.,CA,Baa2,BBB,Farming and Agriculture,Farming / Agriculture,,,,s9.DJ CDX.NA.IG,0.392500000,20/10/2010,53.300000000000000,73.400000000000000,89.000000000000000,109.712006202994000,130.100000000000000,135.124820257444000,139.800000000000000,145.113449926562000,150.079836396269000,154.700000000000000,
AKZO,EUR,Senior,NULL,0B11AI,False,,10035,AKZO Nobel N.V.,NL,A3,A-,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.iTraxx Europe,0.400000000,20/10/2010,31.300000000000000,41.700000000000000,50.600000000000000,61.000000000000000,70.700000000000000,74.020687059904000,76.500000000000000,78.746180065821100,80.301680304078800,81.200000000000000,
NULL,USD,Senior,Excluded,6A59CJ,False,,10040,New Albertson's_ Inc.,US,B1,BBB-   *-,Grocery,Food / Drug retailers,,,,s9.DJ CDX.NA.IG,0.395238095,20/10/2010,386.300000000000000,463.500000000000000,507.600000000000000,563.910033066256000,621.700000000000000,630.078658825602000,636.300000000000000,643.293435554048000,648.438466206082000,651.800000000000000,
NULL,USD,Senior,NULL,7DD92F,False,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,20/10/2010,12.600000000000000,18.900000000000000,21.600000000000000,28.961005612088800,37.200000000000000,40.079420930874500,42.700000000000000,44.273361859960100,45.501572787410300,46.400000000000000,
NULL,USD,Senior,Excluded,7DD92F,False,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,20/10/2010,12.600000000000000,18.900000000000000,21.600000000000000,28.961005612088800,37.200000000000000,40.079420930874500,42.700000000000000,44.273361859960100,45.501572787410300,46.400000000000000,
AA,USD,Senior,NULL,014B98,False,,10043,Alcoa Inc.,US,Baa1,BBB+,Mining_ Steel_ Iron and Non-Precious Metals,Steel,,,,s9.DJ CDX.NA.IG,0.400000000,20/10/2010,105.300000000000000,161.000000000000000,204.800000000000000,246.000000000000000,286.100000000000000,294.906071984481000,303.400000000000000,309.761876416950000,315.729094270483000,321.300000000000000,
AA,USD,Senior,Excluded,014B98,False,,10043,Alcoa Inc.,US,Baa1,BBB+,Mining_ Steel_ Iron and Non-Precious Metals,Steel,,,,s9.DJ CDX.NA.IG,0.400000000,20/10/2010,105.300000000000000,161.000000000000000,204.800000000000000,246.000000000000000,286.100000000000000,294.906071984481000,303.400000000000000,309.761876416950000,315.729094270483000,321.300000000000000,
ALTEL,USD,Senior,NULL,0C204K,False,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,20/10/2010,6.500000000000000,10.400000000000000,14.600000000000000,18.900000000000000,22.400000000000000,25.746950641255300,29.200000000000000,31.484131248112600,33.684825737936400,35.800000000000000,
ALTEL,USD,Senior,Excluded,0C204K,False,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,20/10/2010,6.500000000000000,10.400000000000000,14.600000000000000,18.900000000000000,22.400000000000000,25.746950641255300,29.200000000000000,31.484131248112600,33.684825737936400,35.800000000000000,
HESS,USD,Senior,NULL,46A89Q,False,,10061,Hess Corporation,US,Baa2,BBB-,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.400000000,20/10/2010,37.000000000000000,50.000000000000000,61.800000000000000,74.100000000000000,87.100000000000000,90.877078879205200,93.600000000000000,96.671426720632500,98.958668996836500,100.500000000000000,
AEP,USD,Senior,NULL,027A8A,False,,10066,AMERICAN ELECTRIC POWER COMPANY_ INC.,US,Baa2,BBB,Utilities,Utilities,,,,s9.DJ CDX.NA.IG,0.390000000,20/10/2010,17.800000000000000,26.600000000000000,38.400000000000000,48.600000000000000,60.900000000000000,65.103330804021700,68.800000000000000,72.563638545777600,75.926319950483100,78.900000000000000,
