TradeId,ProductDescription,TradeTag_ECD Id,Currency,Today_CurrentNotional,Today_MTM,LastBusinessDate_MTM,LTDPLChange,ResidualPL,EstimatedPL,CorrEffect,Today_Total_CSGammaEffect,Total_CSDeltaEffect,Today_Total_IRDelta,LastBusinessDate_CashflowEffect,Today_CashflowEffect,CashflowEffect
CDO0000639,ACA 3,1823,USD,,,,0,0,,,,,,,,
CDO0000640,ACA 3 BA,1882,USD,,,,0,0,,,,,,,,
CDO0000646,Athilon 4,2591,USD,-800000000.064,4465545.05194975,4744054.71858009,-278784.432062457,-6321.42203731817,-272463.010025139,-131421.086446693,-1269.3495092345,-68316.6266770809,-846.343643474943,0,0,0
CDO0000649,Athilon 6,3254,USD,-800000000,9814671.2174141,10197012.4571681,-382548.745926846,-11071.8088469009,-371476.937079945,49648.8904353792,-671.466938198272,-87273.1820209945,-2023.98985955981,0,0,0
CDO0000651,Athilon 7,3930,USD,-799999999.998,26549478.2831837,27299154.8557362,-749865.473786999,-21437.9033380185,-728427.57044898,-325675.762803207,-7602.88289759273,-308961.55784788,-5589.67686389398,0,0,0
CDO0000652,Athilon 7 offset,8117,USD,799999999.998,-25512430.0961675,-26262384.3703205,750124.829708517,21368.884455034,728755.945253483,325859.66775581,7606.56407133405,309081.710888265,5420.13679212147,0,0,0
CDO0000653,CDX6 7-10 7y ECD3450,3450,USD,-10000000.012,2870656.24362104,2967034.36734964,-96404.5799786346,-64747.5596655658,-31657.0203130688,-952.313787721657,41201.2224152622,-73122.3699000302,-898.855113767475,0,0,0
CDO0000654,CDX6 7-10 7y ECD3449,3449,USD,10000000.012,-712445.58861658,-751646.893053756,39213.1204094121,4690.5292284774,34522.5911809347,10100.8685837606,-270.759013190747,23409.5563699866,119.805802681084,0,0,0
CDO0000655,CDX6 7-10 7y ECD3453,3453,USD,10000000.012,-2854599.70445073,-2951038.37777029,96465.8788751466,64758.0396218902,31707.8392532565,965.112030820116,-41209.3912225423,73168.3245112396,894.48580042573,0,0,0
CDO0000656,CDX6 7-10 7y ECD8112,8112,USD,-10000000.012,715827.424740482,755024.489274558,-39204.1710155655,-4690.40989764261,-34513.7611179229,-10098.6946326922,270.811247196291,-23407.49259377,-120.270324822979,0,0,0
CDO0000657,GNT LSS 1 - CDX7 30-60,3815,CAD,-4941750000,131039170.32029,132893615.851612,-1854693.38039327,-493331.399424712,-1361361.98096855,-1309215.13584481,20718.3317285282,-353511.61763672,-55399.3957625431,0,0,0
CDO0000658,GNT LSS 1 - GS,3816,CAD,4941750000,-125038114.096566,-126885772.020255,1848064.87451379,485584.154506262,1362480.72000753,1309881.24066452,-20713.3631893815,353715.673425982,53523.1915443334,0,0,0
CDO0000659,Nereus 2 BNP,2743,USD,2200000000,-2916647.32518895,-3269713.38137889,353491.287671423,780.69706075103,352710.590610672,73872.3361396872,313.718349635821,47258.6521430199,691.796455146546,0,0,0
CDO0000660,Nereus 2 Mav1,8271,CAD,-1543836733.32,2578095.38893945,2828713.63975192,-250691.221771316,-1002.33081114365,-249688.890960172,-55075.252355831,-237.062608481617,-35698.6986889826,-591.895698551632,0,0,0
CDO0000661,Nereus Dresdner,2602,USD,394033675.68,-243812.962799823,-307055.610813702,63349.8111879018,130.710092736968,63219.1010951648,13232.4712636166,56.127936407613,8464.99310848871,88.6835812903086,0,0,0
CDO0000662,Nereus Mav1,8269,CAD,-1441344840.31,1785858.89031725,2019845.13071145,-234073.232794936,-887.359915664914,-233185.872879271,-51422.7522844897,-221.190673585162,-33330.6925407779,-476.620926958021,0,0,0
CDO0000671,CDX7 0-3 10y Zero ECD4272,4272,USD,-351386.2937055,-37203.1404994708,-35574.522308992,-1628.61819047886,393.230966937697,-2021.84915741656,-2298.09524999333,2782.67619227412,-2648.55438377382,25.9470367588432,0,0,0
CDO0000672,CDX7 0-3 10y Zero ECD4273,4273,USD,-468515.058526278,-49604.1873593377,-47432.69643753,-2171.49092180774,524.307956199243,-2695.79887800699,-3064.12700164103,3710.23492502998,-3531.40584693329,34.5960490304195,0,0,0
CDO0000673,CDX7 0-3 10y Zero ECD4280,4280,USD,-189208.002585535,-20032.4600871127,-19155.511838661,-876.948248451703,211.739749506042,-1088.68799795775,-1237.43589261045,1498.36408993168,-1426.1446552409,13.9714812048667,0,0,0
CDO0000674,CDX7 0-3 10y Zero ECD8268,8268,USD,1009109.35469118,106839.787932566,102162.730572413,4677.05736015369,-1129.27867250181,5806.3360326555,6599.65814341986,-7991.27520623687,7606.10488499724,-74.5145669848151,0,0,0
CDS0001022,MBIA CDS,1584,USD,12250000,-3412929.13373603,-3066050.57456907,-346859.732353688,-24220.5513386541,-322639.181015034,0,7809.14353035195,-333104.83147855,650.611217620697,0,0,0
CDS0001023,MBIA CDS,1584,USD,-12250000,3412929.13373603,3066050.57456907,346859.732353688,24220.5513386541,322639.181015034,0,-7809.14353035195,333104.83147855,-650.611217620697,0,0,0
CDX0000726,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,2623,USD,33740000,4137.12455824324,2695.95345929377,30.1510522636818,-1454.02985851137,1484.18091077505,0,1.58593851906195,719.811151394949,0.378475746585188,0,0,0
CDX0000727,Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,8111,USD,-33740000,-4137.12455824324,-2695.95345929377,-12.4079967080906,1454.02985851142,-1466.43785521951,0,-1.58593851906195,-719.811151394949,-0.378475746585188,0,0,0
