FromDate,ToDate,Status,Saved,MarketSet,QuoteType,Source,Name,Value
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AA.USD.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AAB-Bank.EUR.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,ABHLTD.EUR.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,ACAFP.EUR.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,ACE.USD.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AEGON.EUR.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AEP.USD.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AERO.EUR.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AET.USD.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AHC.USD.SeniorUnsecured.Modified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AIFUL.JPY.SeniorUnsecured.Excluded.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AIG.USD.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AIG-IntLeaseFin.USD.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AL.USD.SeniorUnsecured.Excluded.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AL.USD.SeniorUnsecured.Modified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AL.USD.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,ALBLTD.EUR.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,ALL.USD.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,ALLEAN.EUR.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,ALZ.EUR.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,ALZSE.EUR.SeniorUnsecured.ModifiedModified.Recovery,0.4
11-Nov-2010,12-Nov-2010,Insert,True,Closing,Recovery Rate,FixRec,AMGN.USD.SeniorUnsecured.ModifiedModified.Recovery,0.4
