HEADER|quantifi_mars_trade.txt|03/11/2011 20:11:45|17|36296055.4517176|PROD
DATA_HEADER|error_ind|valuation_date|location|system_id|trans_id|trade_id|trade_leg_id|trade_date|start_date|maturity_date|ext_cpty_id|ext_cpty_short_name|ext_cpty_long_name|base_cpty_id|cpty_type|trade_class|trade_group|npv_usd|business_unit|avg_notional|max_notional|pay_ccy|rcv_ccy|pay_current_notional|rcv_current_notional|transaction_type|portfolio_name|callable_flag|pay_int_type|rcv_int_type|pay_frequency|rcv_frequency|pay_rate|rcv_rate|settlement|marketer|trader|expiry_date|broker|remark|underlying|underlying_curr|underlying_type|reference_str|identification_str|origination_revenue|exec_quantity|trade_status|settle_date|pay_spread|rcv_spread|pay_reset_frequency|rcv_reset_frequency|pay_day_count|rcv_day_count|orig_system_id|orig_trans_id|orig_trade_id
DATA|N|03/03/2011|LON|QTF|28|31|1|01/11/2006|01/12/2006|03/20/2013|13547|ATHILON ASSET|Athilon Asset Acceptance Corp, New York|16416|EXTERNAL|IR|Bond|2457134.20466035|Credit Derivatives|800000000.06|800000000.064|USD||800000000.06||BOUGHT|L_USD_2591_ATHILON4|N|||Q||0.13||CASH||birnie|03/20/2013|||||||31|||BOOKED||0.13||||ACT/360||NEX|28|31
DATA|N|03/03/2011|LON|QTF|102|102|1|07/14/2006|07/15/2006|09/20/2013|13547|ATHILON ASSET|Athilon Asset Acceptance Corp, New York|16416|EXTERNAL|IR|Bond|9094818.42810361|Credit Derivatives|800000000|800000000|USD||800000000||BOUGHT|L_USD_3254_ATHILON 6|N|||Q||0.11||CASH||birnie|09/20/2013|||||||102|||BOOKED||0.11||||ACT/360||NEX|102|102
DATA|N|03/03/2011|LON|QTF|144|144|1|11/28/2006|11/29/2006|12/20/2013|13547|ATHILON ASSET|Athilon Asset Acceptance Corp, New York|16416|EXTERNAL|IR|Bond|17880835.9484329|Credit Derivatives|800000000|799999999.998|USD||800000000||BOUGHT|L_USD_3930_ATHILON_7|N|||Q||0.11||CASH||birnie|12/20/2013|||||||144|||BOOKED||0.11||||ACT/360||NEX|144|144
DATA|N|03/03/2011|LON|QTF|8092|8114|1|08/17/2006|08/18/2006|06/20/2016|15591|SUN LI CAN|Sun Life  Insurance (Canada) Ltd|16416|EXTERNAL|IR|Bond|2223753.11147906|Credit Derivatives|10000000.01|10000000.012|USD||10000000.01||BOUGHT|L_USD_3450_CDX6_7-10_10y_ECD3450.|N|||Q||1.1475||CASH||birnie|06/20/2016||20/10/08 cashflows calculated manually ntl 10nio    Creating ticket to test PV calc of synthetic vs credit index|||||8114|||BOOKED||1.1475||||ACT/360||NEX|8092|8114
DATA|N|03/03/2011|LON|QTF|8093|8116|1|08/17/2006|08/18/2006|06/20/2013|15591|SUN LI CAN|Sun Life  Insurance (Canada) Ltd|16416|EXTERNAL|IR|Bond|-440175.711326379|Credit Derivatives|10000000.01|10000000.012||USD||10000000.01|SOLD|L_USD_3449_CDX6_7-10_7y_ECD3449.|N||||Q||0.5125|CASH||birnie|06/20/2013||20/10/08 cashflows calculated manually as ntl s/b 10mio    |||||8116|||BOOKED|||0.5125||||ACT/360|NEX|8093|8116
DATA|N|03/03/2011|LON|QTF|8094|8117|1|08/17/2006|08/18/2006|06/20/2016|1910|HSBC USA|HSBC Bank USA NA, New York|16416|EXTERNAL|IR|Bond|-2208073.61237015|Credit Derivatives|10000000.01|10000000.012||USD||10000000.01|SOLD|L_USD_3453_CDX6_7-10_7y_ECD3453|N||||Q||1.18|CASH||birnie|06/20/2016||20/10/08 cashflows calculated manually as ntl s/b 10mio    |||||8117|||BOOKED|||1.18||||ACT/360|NEX|8094|8117
DATA|N|03/03/2011|LON|QTF|8095|8118|1|03/12/2008|03/13/2008|06/20/2013|1704|CHAS GB2L|JPMorgan Chase Bank N.A. London|16416|EXTERNAL|IR|Bond|443269.682223938|Credit Derivatives|10000000.01|10000000.012|USD||10000000.01||BOUGHT|L_USD_8112_CDX6_7-10_7y_ECD8112.|N|||Q||0.5||CASH||birnie|06/20/2013||ofsetting trade for ecd 3449 no fee    |||||8118|||BOOKED||0.5||||ACT/360||NEX|8095|8118
DATA|N|03/03/2011|LON|QTF|8104|8124|1|10/30/2006|10/30/2006|12/20/2016|14425|FINCAP TRUST-I|The Canada Trust Co, in it's capacity as trustee of FINCAP TRUST-I|16416|EXTERNAL|IR|Bond|127526965.721877|Credit Derivatives|4941750000|4941750000|CAD||4941750000||BOUGHT|L_CAD_3815_GNT_LSS_1_-_CDX7_30-60.|N|||M||0.0303||CASH||birnie|12/20/2016||-LSS with mtm trigger at 4.35%    |||||8124|||BOOKED||0.0303||||ACT/365||NEX|8104|8124
DATA|N|03/03/2011|LON|QTF|8105|8125|1|10/27/2006|10/28/2006|12/20/2016|3332|GSIL GB2X|Goldman Sachs International, London|16416|EXTERNAL|IR|Bond|-121545431.988111|Credit Derivatives|4941750000|4941750000||CAD||4941750000|SOLD|L_CAD_3816_GNT_LSS_1_-_GS.|N||||Q||0.05|CASH||birnie|12/20/2016|||||||8125|||BOOKED|||0.05||||ACT/360|NEX|8105|8125
DATA|N|03/03/2011|LON|QTF|13|15|1|02/22/2006|02/23/2006|03/20/2013|12800|BNPA GB22|BNP Paribas SA, London|16416|EXTERNAL|IR|Bond|118266.353243419|Credit Derivatives|2200000000|2200000000||USD||2200000000|SOLD|L_USD_2743_NEREUS2_BNP|N||||Q||0.075|CASH||birnie|03/20/2013|||||||15|||BOOKED|||0.075||||ACT/360|NEX|13|15
