QuantifiSettlementDiary_20110308.csv,Run Date: Mar/14/2011,Period: Mar/08/2011 to Mar/22/2011,Payments Treasury Operations
Value Date,Book Org,Direction,Counterparty,Amount,Currency,Trans ID,Trade ID,Product
03/21/2011,16416,PAY,ATHILON ASSET,262888.89,USD,28,31,CREDITSWAP
03/21/2011,16416,PAY,ATHILON ASSET,222444.44,USD,102,102,CREDITSWAP
03/21/2011,16416,PAY,ATHILON ASSET,222444.44,USD,144,144,CREDITSWAP
03/21/2011,16416,PAY,SUN LI CAN,29006.25,USD,8092,8114,CREDITSWAP
03/21/2011,16416,RECEIVE,SUN LI CAN,12954.86,USD,8093,8116,CREDITSWAP
03/21/2011,16416,RECEIVE,HSBC USA,29827.78,USD,8094,8117,CREDITSWAP
03/21/2011,16416,PAY,CHAS GB2L,12638.89,USD,8095,8118,CREDITSWAP
03/21/2011,16416,PAY,FINCAP TRUST-I,110762.9,CAD,8104,8124,CREDITSWAP
03/21/2011,16416,RECEIVE,GSIL GB2X,624582.29,CAD,8105,8125,CREDITSWAP
03/21/2011,16416,RECEIVE,BNPA GB22,417083.33,USD,13,15,CREDITSWAP
03/21/2011,16416,PAY,MAV I,74231.05,CAD,8188,8207,CREDITSWAP
03/21/2011,16416,RECEIVE,NOMA GB2L,102591.05,USD,9,10,CREDITSWAP
03/21/2011,16416,PAY,MAV I,88494.62,CAD,8186,8205,CREDITSWAP
1 of 1,Internal
