Tenor	 CurveName	 CurveDate	 MarketSet	 Type	 Label	 Maturity Date	 Calculated Yield	 SortOrder
1D	JPY_EOD        	17-Dec-12	CLOSE	mm	mm_0_1	18-Dec-12	0.0030905000000000	0
2D	JPY_EOD        	17-Dec-12	CLOSE	mm	mm_0_20121219	19-Dec-12	0.0030905000000000	1
1W	JPY_EOD        	17-Dec-12	CLOSE	mm	mm_2_20121227	27-Dec-12	0.0030906000000000	2
1M	JPY_EOD        	17-Dec-12	CLOSE	mm	mm_2_101	21-Jan-13	0.0030909000000000	3
2M	JPY_EOD        	17-Dec-12	CLOSE	mm	mm_2_102	19-Feb-13	0.0030913000000000	4
3M	JPY_EOD        	17-Dec-12	CLOSE	mm	mm_2_103	19-Mar-13	0.0030917000000000	5
6M	JPY_EOD        	17-Dec-12	CLOSE	mm	mm_2_106	19-Jun-13	0.0028429000000000	6
1Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1001	19-Dec-13	0.0022750000000000	7
18M	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_118	19-Jun-14	0.0020587000000000	8
2Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1002	19-Dec-14	0.0019500000000000	9
3Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1003	21-Dec-15	0.0019250000000000	10
4Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1004	19-Dec-16	0.0021750000000000	11
5Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1005	19-Dec-17	0.0026750000000000	12
6Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1006	19-Dec-18	0.0034000000000000	13
7Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1007	19-Dec-19	0.0043250000000000	14
8Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1008	21-Dec-20	0.0053750000000000	15
9Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1009	20-Dec-21	0.0064750000000000	16
10Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1010	19-Dec-22	0.0076000000000000	17
12Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1012	19-Dec-24	0.0098000000000000	18
15Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1015	20-Dec-27	0.0128250000000000	19
20Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1020	20-Dec-32	0.0162000000000000	20
25Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1025	21-Dec-37	0.0178000000000000	21
30Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1030	19-Dec-42	0.0186000000000000	22
40Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1040	19-Dec-52	0.0186000000000000	23
50Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1050	19-Dec-62	0.0186000000000000	24
52Y	JPY_EOD        	17-Dec-12	CLOSE	swap	swap_2_1052	19-Dec-64	0.0186000000000000	25
STUB	EUR_EUR        	17-Dec-12	CLOSE	mm	mm_2_20130320	20-Mar-13	0.0033041000000000	0
FUT1	EUR_EUR        	17-Dec-12	CLOSE	fut	fut_1_103	20-Jun-13	0.0030312000000000	1
FUT2	EUR_EUR        	17-Dec-12	CLOSE	fut	fut_2_103	19-Sep-13	0.0028466000000000	2
FUT3	EUR_EUR        	17-Dec-12	CLOSE	fut	fut_3_103	18-Dec-13	0.0029899000000000	3
FUT4	EUR_EUR        	17-Dec-12	CLOSE	fut	fut_4_103	19-Mar-14	0.0032880000000000	4
FUT5	EUR_EUR        	17-Dec-12	CLOSE	fut	fut_5_103	19-Jun-14	0.0036724000000000	5
FUT6	EUR_EUR        	17-Dec-12	CLOSE	fut	fut_6_103	18-Sep-14	0.0042135000000000	6
FUT7	EUR_EUR        	17-Dec-12	CLOSE	fut	fut_7_103	17-Dec-14	0.0048206000000000	7
FUT8	EUR_EUR        	17-Dec-12	CLOSE	fut	fut_8_103	18-Mar-15	0.0055400000000000	8
FUT9	EUR_EUR        	17-Dec-12	CLOSE	fut	fut_9_103	18-Jun-15	0.0061983000000000	9
FUT10	EUR_EUR        	17-Dec-12	CLOSE	fut	fut_10_103	17-Sep-15	0.0070243000000000	10
FUT11	EUR_EUR        	17-Dec-12	CLOSE	fut	fut_11_103	16-Dec-15	0.0079453000000000	11
FUT12	EUR_EUR        	17-Dec-12	CLOSE	fut	fut_12_103	16-Mar-16	0.0090360000000000	12
4Y	EUR_EUR        	17-Dec-12	CLOSE	swap	swap_2_1004	19-Dec-16	0.0062000000000000	13
5Y	EUR_EUR        	17-Dec-12	CLOSE	swap	swap_2_1005	19-Dec-17	0.0080300000000000	14
6Y	EUR_EUR        	17-Dec-12	CLOSE	swap	swap_2_1006	19-Dec-18	0.0099200000000000	15
7Y	EUR_EUR        	17-Dec-12	CLOSE	swap	swap_2_1007	19-Dec-19	0.0117100000000000	16
8Y	EUR_EUR        	17-Dec-12	CLOSE	swap	swap_2_1008	21-Dec-20	0.0133700000000000	17
9Y	EUR_EUR        	17-Dec-12	CLOSE	swap	swap_2_1009	20-Dec-21	0.0148500000000000	18
10Y	EUR_EUR        	17-Dec-12	CLOSE	swap	swap_2_1010	19-Dec-22	0.0161700000000000	19
