Curve Name,Delta Name,Delta Hedge
USDLIBOR,DEC12,0.666226211275093
USDLIBOR,19-Dec-2012,0.00622877030589023
USDLIBOR,MAR13,0.422839353310439
USDLIBOR,JUN13,0.376109231336895
USDLIBOR,SEP13,-0.0499145630043044
USDLIBOR,DEC13,-0.0406553955611905
USDLIBOR,2 Years,-0.701462410476433
USDLIBOR,3 Years,-1.20800676760989
USDLIBOR,4 Years,-0.392564578335978
USDLIBOR,5 Years,0.00133178193570482
USDLIBOR,6 Years,0
USDLIBOR,7 Years,0
USDLIBOR,8 Years,0
USDLIBOR,9 Years,0
USDLIBOR,10 Years,0
USDLIBOR,15 Years,0
USDLIBOR,20 Years,0
JPYLIBOR,1 Days,-0.00103728121692698
JPYLIBOR,1 Weeks,0
JPYLIBOR,1 Months,0
JPYLIBOR,2 Months,0
JPYLIBOR,3 Months,0.0255874378967829
JPYLIBOR,6 Months,0.0492938473462235
JPYLIBOR,1 Years,0
JPYLIBOR,18 Months,0
JPYLIBOR,2 Years,0
JPYLIBOR,3 Years,0
JPYLIBOR,4 Years,0
JPYLIBOR,5 Years,0
JPYLIBOR,6 Years,0
JPYLIBOR,7 Years,0
JPYLIBOR,8 Years,0
JPYLIBOR,9 Years,0
JPYLIBOR,10 Years,0
JPYLIBOR,12 Years,0
JPYLIBOR,15 Years,0
JPYLIBOR,20 Years,0
JPYLIBOR,25 Years,0
JPYLIBOR,30 Years,0
JPYLIBOR,40 Years,0
JPYLIBOR,50 Years,0
JPYLIBOR,52 Years,0
EURLIBOR,1 Days,-0.00089698963956958
EURLIBOR,DEC12,0.483739692452291
EURLIBOR,1 Weeks,0.00627853151454112
EURLIBOR,1 Months,0
EURLIBOR,MAR13,0.49596861737867
EURLIBOR,JUN13,0.48886550269486
EURLIBOR,SEP13,0
EURLIBOR,DEC13,0
EURLIBOR,MAR14,0
EURLIBOR,JUN14,0
EURLIBOR,SEP14,0
EURLIBOR,MAR15,0
EURLIBOR,JUN15,0
EURLIBOR,4 Years,0
EURLIBOR,5 Years,0
EURLIBOR,6 Years,0
EURLIBOR,7 Years,0
EURLIBOR,8 Years,0
EURLIBOR,9 Years,0
EURLIBOR,10 Years,0
EURLIBOR,12 Years,0
EURLIBOR,15 Years,0
EURLIBOR,20 Years,0
EURLIBOR,25 Years,0
EURLIBOR,30 Years,0
EURLIBOR,40 Years,0
EURLIBOR,50 Years,0
EURLIBOR,60 Years,0
EURLIBOR,70 Years,0
CADLIBOR,17-Dec-2012,0
CADLIBOR,DEC12,-29.2545514051816
CADLIBOR,MAR13,-30.3677268476278
CADLIBOR,JUN13,-24.0334731979178
CADLIBOR,SEP13,-17.673571890313
CADLIBOR,DEC13,-11.8483938743725
CADLIBOR,2 Years,-168.718801011649
CADLIBOR,3 Years,-290.712082782171
CADLIBOR,4 Years,-296.414475200701
CADLIBOR,5 Years,0.0159058755471051
CADLIBOR,6 Years,0
CADLIBOR,7 Years,0
CADLIBOR,8 Years,0
CADLIBOR,9 Years,0
CADLIBOR,10 Years,0
CADLIBOR,12 Years,0
CADLIBOR,15 Years,0
CADLIBOR,20 Years,0
CADLIBOR,25 Years,0
CADLIBOR,30 Years,0
CADLIBOR,35 Years,0
CADLIBOR,40 Years,0
CADLIBOR,50 Years,0
