Curve Name,Delta Name,CDO0000657,CDO0000658,CDO0000660,CDO0000662,Sum Total
USDLIBOR,19-Dec-2012,-6.85717564074957,6.8585296299741,0.0042294170688914,0.00394859775192855,0.00953200404534618
USDLIBOR,DEC12,-315.614005985587,315.678643126838,0.380290929708503,0.355040865966422,0.799968936925994
USDLIBOR,MAR13,-251.399387558813,251.446728735505,0.250882668017622,0.234224938581888,0.532448783291554
USDLIBOR,JUN13,-175.089675351217,175.117826299818,0.221445517341976,0.206741951283648,0.456338417225966
USDLIBOR,SEP13,-103.049024591592,103.059387091295,,,0.0103624997032057
USDLIBOR,DEC13,-52.5556448111333,52.5552316052003,,,-0.000413205933000427
USDLIBOR,2 Years,22.5356546539256,-22.674069526644,,,-0.138414872718386
USDLIBOR,3 Years,2327.69000674432,-2328.04790759628,,,-0.357900851965951
USDLIBOR,4 Years,1694.19690089368,-1694.36338305446,,,-0.166482160780561
USDLIBOR,5 Years,-13.5559213508855,13.557253132808,,,0.00133178192254491
USDLIBOR,6 Years,,,,,0
USDLIBOR,7 Years,,,,,0
USDLIBOR,8 Years,,,,,0
USDLIBOR,9 Years,,,,,0
USDLIBOR,10 Years,,,,,0
USDLIBOR,15 Years,,,,,0
USDLIBOR,20 Years,,,,,0
JPYLIBOR,1 Days,,,-0.000536445677466271,-0.000500835539460706,-0.00103728121692698
JPYLIBOR,1 Weeks,,,0,0,0
JPYLIBOR,1 Months,,,0,0,0
JPYLIBOR,2 Months,,,0,0,0
JPYLIBOR,3 Months,,,0.013232931056709,0.0123545068400739,0.0255874378967829
JPYLIBOR,6 Months,,,0.0254930597652622,0.0238007875809613,0.0492938473462235
JPYLIBOR,1 Years,,,,,0
JPYLIBOR,18 Months,,,,,0
JPYLIBOR,2 Years,,,,,0
JPYLIBOR,3 Years,,,,,0
JPYLIBOR,4 Years,,,,,0
JPYLIBOR,5 Years,,,,,0
JPYLIBOR,6 Years,,,,,0
JPYLIBOR,7 Years,,,,,0
JPYLIBOR,8 Years,,,,,0
JPYLIBOR,9 Years,,,,,0
JPYLIBOR,10 Years,,,,,0
JPYLIBOR,12 Years,,,,,0
JPYLIBOR,15 Years,,,,,0
JPYLIBOR,20 Years,,,,,0
JPYLIBOR,25 Years,,,,,0
JPYLIBOR,30 Years,,,,,0
JPYLIBOR,40 Years,,,,,0
JPYLIBOR,50 Years,,,,,0
JPYLIBOR,52 Years,,,,,0
EURLIBOR,1 Days,,,-0.000463896556176736,-0.000433093083392844,-0.00089698963956958
EURLIBOR,DEC12,,,0.250175878542009,0.233563813910281,0.483739692452291
EURLIBOR,1 Weeks,,,0.00324707101710801,0.00303146049743311,0.00627853151454112
EURLIBOR,1 Months,,,0,0,0
EURLIBOR,MAR13,,,0.256500322254005,0.239468295124664,0.49596861737867
EURLIBOR,JUN13,,,0.252826803997455,0.236038698697405,0.48886550269486
EURLIBOR,SEP13,,,,,0
EURLIBOR,DEC13,,,,,0
EURLIBOR,MAR14,,,,,0
EURLIBOR,JUN14,,,,,0
EURLIBOR,SEP14,,,,,0
EURLIBOR,MAR15,,,,,0
EURLIBOR,JUN15,,,,,0
EURLIBOR,4 Years,,,,,0
EURLIBOR,5 Years,,,,,0
EURLIBOR,6 Years,,,,,0
EURLIBOR,7 Years,,,,,0
EURLIBOR,8 Years,,,,,0
EURLIBOR,9 Years,,,,,0
EURLIBOR,10 Years,,,,,0
EURLIBOR,12 Years,,,,,0
EURLIBOR,15 Years,,,,,0
EURLIBOR,20 Years,,,,,0
EURLIBOR,25 Years,,,,,0
EURLIBOR,30 Years,,,,,0
EURLIBOR,40 Years,,,,,0
EURLIBOR,50 Years,,,,,0
EURLIBOR,60 Years,,,,,0
EURLIBOR,70 Years,,,,,0
CADLIBOR,17-Dec-2012,,,,,0
CADLIBOR,DEC12,-74.0651123104744,37.6345639852975,3.62689142187637,3.5491054981189,-29.2545514051816
CADLIBOR,MAR13,-73.9088061368252,43.5329728739614,0.00376942431678907,0.0043369909191722,-30.3677268476278
CADLIBOR,JUN13,-78.3515097914305,54.3180365935127,0,0,-24.0334731979178
CADLIBOR,SEP13,-74.3226012712112,56.6490293808981,,,-17.673571890313
CADLIBOR,DEC13,-64.1890613683504,52.3406674939779,,,-11.8483938743725
CADLIBOR,2 Years,-1735.09232092052,1566.37351990887,,,-168.718801011649
CADLIBOR,3 Years,-5728.8041029975,5438.09202021533,,,-290.712082782171
CADLIBOR,4 Years,-5156.65204188956,4860.23756668886,,,-296.414475200701
CADLIBOR,5 Years,31.0045512546039,-30.9886453790568,,,0.0159058755471051
CADLIBOR,6 Years,,,,,0
CADLIBOR,7 Years,,,,,0
CADLIBOR,8 Years,,,,,0
CADLIBOR,9 Years,,,,,0
CADLIBOR,10 Years,,,,,0
CADLIBOR,12 Years,,,,,0
CADLIBOR,15 Years,,,,,0
CADLIBOR,20 Years,,,,,0
CADLIBOR,25 Years,,,,,0
CADLIBOR,30 Years,,,,,0
CADLIBOR,35 Years,,,,,0
CADLIBOR,40 Years,,,,,0
CADLIBOR,50 Years,,,,,0
