Quantifi Trade Id,Trans Id,Trade Id,Description,Pv
CDO0000653,8092,8114,CDX6 7-10 7y ECD3450 ,0
CDO0000654,8093,8116,CDX6 7-10 7y ECD3449 ,0
CDO0000655,8094,8117,CDX6 7-10 7y ECD3453 ,0
CDO0000656,8095,8118,CDX6 7-10 7y ECD8112 ,0
CDO0000657,8104,8124,GNT LSS 1 - CDX7 30-60 ,0
CDO0000658,8105,8125,GNT LSS 1 - GS ,0
CDO0000671,8099,8121,CDX7 0-3 10y Zero ECD4272 ,0
CDO0000672,8098,8120,CDX7 0-3 10y Zero ECD4273 ,0
CDO0000673,8097,8119,CDX7 0-3 10y Zero ECD4280 ,0
CDO0000674,8101,8122,CDX7 0-3 10y Zero ECD8268 ,0
